,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
190,0.653,0.578,0.595,0.701,0.698,0.884,0.879,0.859,0.823,0.835,-0.014,0.024,-0.007,-0.009,0.011,0.024,0.005,0.032,0.008,0.024,-0.092,0.048,0.13,0,0.019,1.323,1.097,0.718,1.129,1.183
191,0.757,0.716,0.641,0.714,0.764,0.947,0.946,0.951,0.928,0.895,-0.014,0.019,-0.004,-0.021,0.009,-0.001,-0.012,0.001,-0.011,0.004,-0.323,-0.052,0.033,-0.076,-0.094,1.5,1.319,0.881,1.272,1.39
192,0.849,0.828,0.707,0.713,0.769,0.865,0.922,0.894,0.89,0.863,-0.01,0.007,-0.004,-0.015,0.001,-0.018,-0.019,-0.017,-0.008,-0.009,-0.302,-0.062,-0.01,-0.077,-0.082,1.424,1.301,1.065,1.344,1.369
193,0.976,0.867,0.749,0.74,0.693,0.811,0.844,0.851,0.846,0.822,-0.009,0.014,0.15,-0.014,0.005,-0.094,-0.015,-0.097,-0.017,-0.067,-0.104,0.07,0.134,0.07,0.035,1.284,1.149,1.03,1.292,1.236
194,0.922,0.813,0.798,0.835,0.744,0.8,0.837,0.82,0.821,0.853,-0.017,0.009,0.079,-0.022,-0.002,-0.09,-0.136,-0.075,-0.104,-0.058,0.049,0.095,0.126,0.123,0.046,1.238,0.998,0.889,1.235,1.233
195,0.895,0.739,0.824,0.894,0.694,0.824,0.875,0.776,0.823,0.853,-0.128,-0.115,-0.047,-0.139,-0.103,0.299,0.209,0.338,0.16,0.357,0.05,0.15,0.125,0.068,0.05,1.19,1.076,0.735,1.097,1.183
196,0.792,0.744,0.8,0.931,0.697,0.814,0.873,0.781,0.829,0.836,-0.047,0.02,-0.091,-0.042,-0.039,1.09,0.919,1.215,0.95,1.124,0.112,0.207,0.127,0.146,0.085,1.107,0.986,0.623,0.866,0.961
197,0.615,0.812,0.811,0.91,0.77,0.84,0.894,0.794,0.808,0.822,0.541,0.652,0.141,0.537,0.482,2.124,1.884,2.084,1.899,1.926,0.242,0.287,0.165,0.227,0.225,1.086,1,0.941,0.96,0.91
198,0.662,0.771,0.729,0.808,0.766,0.902,0.858,0.869,0.835,0.824,1.384,1.462,0.514,1.408,1.267,2.562,2.217,2.257,2.347,2.148,0.343,0.365,0.289,0.392,0.334,1.08,1.058,0.967,1.044,1.008
199,0.628,0.662,0.678,0.761,0.709,0.902,0.809,0.877,0.882,0.817,2.253,2.18,1.048,2.237,1.849,2.137,1.809,1.78,1.992,1.759,0.431,0.479,0.39,0.509,0.382,1.029,1.004,0.78,1.013,0.956
200,0.503,0.675,0.666,0.69,0.634,0.864,0.822,0.879,0.9,0.791,2.342,2.315,1.402,2.55,1.963,1.42,1.274,1.15,1.324,1.239,0.461,0.544,0.449,0.547,0.461,0.927,0.924,0.896,0.927,0.904
201,0.688,0.721,0.664,0.731,0.618,0.785,0.84,0.899,0.85,0.802,1.953,2.023,1.594,2.204,1.786,0.821,0.829,0.776,0.866,0.87,0.574,0.58,0.571,0.576,0.582,0.855,0.824,0.861,0.816,0.8
202,0.814,0.812,0.738,0.743,0.638,0.828,0.892,0.888,0.825,0.818,1.518,1.652,1.466,1.717,1.646,0.678,0.783,0.739,0.735,0.787,0.661,0.671,0.676,0.651,0.745,0.82,0.812,0.981,0.768,0.774
203,0.839,0.798,0.783,0.769,0.678,0.869,0.913,0.874,0.832,0.868,1.218,1.322,1.277,1.272,1.55,0.684,0.687,0.68,0.71,0.708,0.789,0.72,0.773,0.777,0.857,0.788,0.775,0.911,0.792,0.757
204,1.004,0.767,0.852,0.806,0.752,0.915,0.884,0.837,0.868,0.883,1.193,1.255,1.297,1.143,1.362,0.678,0.685,0.691,0.696,0.699,0.845,0.818,0.835,0.841,0.889,0.752,0.711,0.741,0.748,0.709
205,0.905,0.753,0.927,0.828,0.803,0.916,0.906,0.821,0.894,0.887,1.201,1.307,1.19,1.211,1.229,0.694,0.701,0.697,0.697,0.691,0.898,0.896,0.844,0.868,0.93,0.684,0.659,0.748,0.703,0.681
206,0.968,0.816,0.977,0.826,0.893,0.881,0.903,0.838,0.878,0.891,1.254,1.351,1.156,1.255,1.203,0.692,0.685,0.688,0.717,0.703,0.914,0.928,0.887,0.875,0.952,0.62,0.593,0.621,0.638,0.614
207,0.973,0.854,0.929,0.848,0.906,0.878,0.886,0.833,0.85,0.871,1.296,1.37,1.25,1.275,1.26,0.702,0.677,0.689,0.719,0.685,0.858,0.888,0.867,0.855,0.925,0.539,0.529,0.511,0.545,0.547
208,0.823,0.905,0.885,0.894,0.917,0.86,0.865,0.831,0.816,0.864,1.326,1.326,1.339,1.266,1.283,0.711,0.673,0.701,0.719,0.661,0.815,0.815,0.815,0.805,0.839,0.459,0.449,0.372,0.453,0.462
209,0.96,0.946,0.901,0.951,0.931,0.825,0.813,0.818,0.778,0.823,1.374,1.283,1.388,1.28,1.362,0.712,0.681,0.716,0.728,0.674,0.708,0.713,0.715,0.696,0.727,0.382,0.373,0.301,0.374,0.382
210,1.01,0.946,0.907,0.999,0.911,0.743,0.738,0.739,0.711,0.746,1.4,1.279,1.158,1.27,1.324,0.719,0.704,0.731,0.736,0.698,0.589,0.592,0.593,0.58,0.603,0.307,0.303,0.267,0.312,0.305
211,1.014,0.938,0.912,0.951,0.91,0.647,0.653,0.655,0.624,0.655,1.38,1.333,1.103,1.235,1.29,0.716,0.719,0.728,0.742,0.721,0.491,0.486,0.484,0.478,0.501,0.25,0.247,0.22,0.261,0.246
212,0.973,0.883,0.861,0.896,0.879,0.561,0.572,0.564,0.558,0.56,1.366,1.389,1.186,1.246,1.284,0.718,0.729,0.737,0.734,0.708,0.403,0.397,0.397,0.389,0.412,0.203,0.201,0.196,0.21,0.2
