,0,1,2,3,4,5,6,7
220,0.714,0.703,0.709,0.651,0.872,0.875,0.892,0.912
221,0.667,0.661,0.66,0.591,0.79,0.786,0.787,0.811
222,0.625,0.62,0.611,0.615,0.705,0.713,0.716,0.744
223,0.595,0.589,0.579,0.606,0.675,0.688,0.691,0.719
224,0.555,0.55,0.545,0.573,0.615,0.633,0.639,0.662
225,0.517,0.513,0.507,0.535,0.552,0.566,0.579,0.598
226,0.479,0.476,0.471,0.487,0.489,0.503,0.512,0.527
227,0.441,0.436,0.432,0.438,0.421,0.433,0.439,0.455
228,0.406,0.402,0.398,0.413,0.357,0.365,0.371,0.384
229,0.38,0.377,0.373,0.39,0.305,0.314,0.319,0.329
230,0.367,0.363,0.36,0.38,0.272,0.279,0.283,0.293
231,0.362,0.358,0.356,0.375,0.253,0.259,0.263,0.271
232,0.363,0.359,0.358,0.372,0.242,0.248,0.252,0.259
233,0.368,0.366,0.364,0.371,0.238,0.243,0.247,0.253
234,0.377,0.375,0.372,0.378,0.239,0.243,0.247,0.253
235,0.388,0.384,0.381,0.388,0.24,0.244,0.248,0.254
236,0.396,0.393,0.389,0.398,0.242,0.246,0.25,0.256
237,0.404,0.401,0.397,0.408,0.244,0.248,0.252,0.258
238,0.412,0.41,0.406,0.415,0.247,0.251,0.254,0.26
239,0.419,0.419,0.414,0.427,0.25,0.254,0.256,0.263
240,0.426,0.425,0.42,0.435,0.251,0.255,0.257,0.265
241,0.432,0.43,0.426,0.441,0.251,0.257,0.259,0.266
242,0.438,0.436,0.431,0.447,0.252,0.258,0.26,0.267
243,0.441,0.438,0.434,0.451,0.253,0.259,0.262,0.268
244,0.441,0.438,0.435,0.455,0.255,0.26,0.263,0.268
245,0.44,0.438,0.435,0.453,0.255,0.26,0.262,0.269
246,0.443,0.44,0.437,0.453,0.254,0.259,0.261,0.269
247,0.445,0.442,0.437,0.451,0.253,0.259,0.261,0.269
248,0.445,0.441,0.436,0.45,0.253,0.258,0.261,0.268
249,0.437,0.434,0.428,0.442,0.25,0.255,0.258,0.265
250,0.422,0.42,0.415,0.428,0.243,0.247,0.249,0.257
251,0.403,0.401,0.397,0.411,0.234,0.237,0.239,0.248
252,0.38,0.378,0.374,0.385,0.221,0.225,0.226,0.234
253,0.355,0.352,0.35,0.361,0.209,0.212,0.213,0.22
254,0.33,0.328,0.326,0.334,0.196,0.199,0.199,0.207
255,0.307,0.305,0.303,0.308,0.182,0.185,0.185,0.192
256,0.287,0.287,0.285,0.289,0.17,0.173,0.173,0.18
257,0.272,0.272,0.27,0.273,0.161,0.164,0.164,0.17
258,0.257,0.257,0.255,0.263,0.154,0.156,0.156,0.161
259,0.24,0.24,0.238,0.247,0.146,0.147,0.148,0.153
260,0.218,0.217,0.216,0.223,0.135,0.136,0.137,0.141
261,0.189,0.189,0.188,0.192,0.121,0.122,0.122,0.126
262,0.158,0.159,0.159,0.161,0.105,0.107,0.106,0.11
263,0.128,0.13,0.13,0.131,0.089,0.091,0.09,0.093
264,0.103,0.105,0.105,0.108,0.075,0.077,0.076,0.079
265,0.085,0.086,0.087,0.092,0.067,0.067,0.066,0.069
266,0.071,0.074,0.074,0.08,0.059,0.059,0.058,0.06
267,0.062,0.065,0.066,0.07,0.054,0.054,0.052,0.055
268,0.056,0.059,0.06,0.062,0.051,0.05,0.048,0.05
269,0.052,0.054,0.055,0.057,0.047,0.047,0.045,0.047
270,0.049,0.051,0.052,0.054,0.045,0.045,0.043,0.044
271,0.048,0.05,0.05,0.053,0.043,0.043,0.041,0.041
272,0.047,0.049,0.049,0.053,0.041,0.04,0.039,0.039
273,0.045,0.047,0.047,0.051,0.038,0.037,0.035,0.035
274,0.042,0.045,0.045,0.048,0.035,0.035,0.032,0.033
275,0.039,0.041,0.043,0.043,0.032,0.033,0.03,0.031
276,0.037,0.039,0.04,0.04,0.03,0.031,0.028,0.029
277,0.035,0.038,0.038,0.037,0.029,0.029,0.027,0.027
278,0.035,0.037,0.038,0.038,0.029,0.029,0.027,0.027
279,0.036,0.038,0.039,0.041,0.03,0.029,0.028,0.027
280,0.038,0.039,0.04,0.045,0.031,0.03,0.029,0.028
281,0.038,0.04,0.04,0.047,0.03,0.029,0.028,0.028
282,0.038,0.04,0.04,0.044,0.03,0.029,0.027,0.028
283,0.036,0.039,0.039,0.04,0.029,0.028,0.027,0.027
284,0.033,0.035,0.036,0.036,0.028,0.026,0.025,0.024
285,0.029,0.031,0.031,0.032,0.025,0.024,0.022,0.021
286,0.025,0.027,0.027,0.028,0.022,0.021,0.019,0.018
287,0.022,0.025,0.025,0.025,0.02,0.019,0.017,0.017
288,0.022,0.025,0.026,0.024,0.021,0.02,0.017,0.017
289,0.024,0.027,0.028,0.026,0.021,0.021,0.019,0.019
290,0.025,0.027,0.028,0.027,0.021,0.021,0.019,0.018
291,0.024,0.026,0.027,0.028,0.02,0.02,0.017,0.018
292,0.02,0.023,0.023,0.026,0.018,0.018,0.015,0.015
293,0.015,0.017,0.017,0.022,0.015,0.015,0.011,0.011
294,0.011,0.013,0.013,0.017,0.012,0.013,0.009,0.008
295,0.008,0.01,0.011,0.013,0.011,0.01,0.008,0.007
296,0.008,0.01,0.011,0.01,0.011,0.01,0.008,0.008
297,0.008,0.01,0.01,0.012,0.011,0.009,0.008,0.007
298,0.007,0.009,0.01,0.011,0.01,0.008,0.007,0.006
299,0.008,0.01,0.01,0.012,0.01,0.009,0.007,0.006
300,0.008,0.011,0.011,0.013,0.012,0.011,0.008,0.008
301,0.009,0.011,0.012,0.012,0.012,0.011,0.009,0.008
302,0.008,0.01,0.011,0.011,0.011,0.01,0.007,0.008
303,0.007,0.008,0.01,0.009,0.009,0.009,0.005,0.007
304,0.005,0.007,0.009,0.007,0.009,0.007,0.004,0.005
305,0.005,0.007,0.009,0.005,0.01,0.008,0.005,0.005
306,0.005,0.008,0.01,0.005,0.011,0.009,0.006,0.006
307,0.006,0.009,0.011,0.006,0.011,0.01,0.008,0.007
308,0.007,0.011,0.012,0.008,0.011,0.01,0.009,0.008
309,0.007,0.01,0.011,0.008,0.011,0.01,0.008,0.007
