,0,0,0,0,0,1,1,1,1,4,2,1,2,2,2,2,3,3,3,3,3,4,4,4,6,4,5,5,5,5,6,6,6,7,6,8,7,7,7,7,8,8,8,8,9,9,9,9,9
220,0.535,0.031,-0.161,0.072,0.126,0.335,-0.034,-0.029,0.07,1.269,0.076,0.095,0.061,0.055,0.04,-0.011,0.042,0.097,-0.023,0.123,0.041,1.167,1.27,1.07,0.102,1.263,1.228,1.125,1.143,0.966,0.135,-0.05,0.022,0.221,-0.363,0.253,-0.033,0.287,-0.065,0.565,0.26,0.732,0.703,0.155,0.061,0.131,0.107,0.172,0.073
221,0.47,0.085,-0.083,0.047,0.054,0.359,0.048,0.035,0.132,1.298,0.084,0.071,0.057,0.085,0.048,0.018,0.058,0.171,0.027,0.109,0.053,1.018,1.022,0.994,0.152,1.4,1.252,1.096,1.141,1.059,0.18,0.196,0.102,0.287,0.053,0.36,0.17,0.285,0.06,0.614,0.286,0.77,0.696,0.106,0.192,0.184,0.261,0.146,0.188
222,0.315,0.098,0.01,0.041,0.006,0.281,0.306,0.167,0.125,1.318,0.058,0.081,0.034,0.127,0.031,0.126,0.103,0.167,0.068,0.074,0.088,0.946,0.925,0.908,0.279,1.267,1.334,1.131,1.107,1.13,0.275,0.179,0.174,0.416,0.213,0.489,0.27,0.372,0.442,0.511,0.372,0.811,0.722,0.117,0.33,0.152,0.318,0.248,0.402
223,0.089,0.022,-0.028,0.058,0.006,0.149,0.189,0.147,0.127,1.209,0.078,0.064,0.066,0.125,0.037,0.123,0.094,0.095,0.073,0.061,0.056,0.85,0.975,0.821,0.254,1.1,1.282,1.084,1.077,1.176,0.294,0.17,0.219,0.448,0.215,0.493,0.316,0.536,0.418,0.604,0.435,0.828,0.82,0.153,0.445,0.17,0.23,0.181,0.391
224,0.043,-0.007,0.062,0.048,0.0,-0.058,0.063,0.099,0.061,1.352,0.069,0.068,0.067,0.079,0.02,0.099,0.062,0.095,0.028,0.026,0.029,0.733,0.8,0.684,0.245,1.027,1.188,1.003,1.0,1.168,0.372,0.233,0.296,0.49,0.249,0.45,0.436,0.684,0.566,0.627,0.464,0.824,0.852,0.169,0.407,0.179,0.154,0.142,0.454
225,0.008,0.049,0.095,0.037,0.035,-0.02,-0.014,-0.003,0.075,1.129,0.053,0.06,0.044,0.074,0.017,0.038,-0.056,0.085,0.018,0.015,0.051,0.768,0.732,0.537,0.331,0.94,0.958,0.909,0.875,1.173,0.376,0.366,0.404,0.703,0.317,0.33,0.613,0.859,0.769,0.856,0.429,0.856,0.888,0.164,0.246,0.215,0.226,0.452,0.411
226,0.019,0.11,0.094,0.027,0.03,0.051,-0.007,0.024,0.138,1.061,0.046,0.055,0.06,0.039,0.049,0.039,-0.088,0.155,0.035,0.034,0.061,0.639,0.566,0.414,0.601,0.818,1.01,0.876,0.818,1.19,0.547,0.598,0.607,0.949,0.506,0.362,0.825,1.035,0.953,1.096,0.218,0.897,0.912,0.151,0.467,0.328,0.443,0.478,0.745
227,0.016,0.127,0.055,0.012,0.031,0.202,0.008,0.002,0.162,0.661,0.045,0.036,0.063,0.052,0.076,0.082,-0.012,0.094,0.076,0.016,0.087,0.623,0.486,0.347,0.996,0.634,0.999,0.84,0.772,1.196,0.907,0.91,0.952,1.088,0.842,0.304,0.973,1.087,1.052,1.186,0.338,0.979,1.007,0.205,0.702,0.464,0.623,0.548,0.97
228,0.066,0.081,0.111,0.031,0.027,0.311,0.113,-0.132,0.155,0.492,0.055,0.043,0.098,0.05,0.097,0.084,0.042,-0.014,0.104,0.012,0.089,0.447,0.46,0.344,1.258,0.643,1.076,0.738,0.747,1.266,1.225,1.156,1.195,1.003,1.146,0.301,0.958,1.02,0.982,1.068,0.752,1.026,1.135,0.257,1.205,0.675,0.842,0.531,1.241
