,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
220,0.335,-0.034,-0.029,0.07,0.095,1.167,1.27,1.263,1.125,1.143,0.102,0.022,-0.363,-0.033,0.221,0.287,-0.065,0.565
221,0.359,0.048,0.035,0.132,0.071,1.018,1.022,1.4,1.096,1.141,0.152,0.102,0.053,0.17,0.287,0.285,0.06,0.614
222,0.281,0.306,0.167,0.125,0.081,0.946,0.925,1.267,1.131,1.107,0.279,0.174,0.213,0.27,0.416,0.372,0.442,0.511
223,0.149,0.189,0.147,0.127,0.064,0.85,0.975,1.1,1.084,1.077,0.254,0.219,0.215,0.316,0.448,0.536,0.418,0.604
224,-0.058,0.063,0.099,0.061,0.068,0.733,0.8,1.027,1.003,1,0.245,0.296,0.249,0.436,0.49,0.684,0.566,0.627
225,-0.02,-0.014,-0.003,0.075,0.06,0.768,0.732,0.94,0.909,0.875,0.331,0.404,0.317,0.613,0.703,0.859,0.769,0.856
226,0.051,-0.007,0.024,0.138,0.055,0.639,0.566,0.818,0.876,0.818,0.601,0.607,0.506,0.825,0.949,1.035,0.953,1.096
227,0.202,0.008,0.002,0.162,0.036,0.623,0.486,0.634,0.84,0.772,0.996,0.952,0.842,0.973,1.088,1.087,1.052,1.186
228,0.311,0.113,-0.132,0.155,0.043,0.447,0.46,0.643,0.738,0.747,1.258,1.195,1.146,0.958,1.003,1.02,0.982,1.068
229,0.279,0.099,-0.01,0.1,0.078,0.44,0.414,0.717,0.644,0.643,1.279,1.207,1.208,0.784,0.789,0.802,0.791,0.798
230,0.204,0.045,-0.009,0.029,0.08,0.513,0.43,0.767,0.527,0.547,0.989,0.94,0.997,0.553,0.568,0.557,0.559,0.568
231,0.068,0.038,0.277,-0.012,0.065,0.438,0.317,0.675,0.398,0.411,0.677,0.66,0.707,0.376,0.402,0.389,0.387,0.388
232,-0.007,0.015,0.151,0.003,0.051,0.367,0.277,0.403,0.297,0.248,0.482,0.478,0.491,0.265,0.286,0.274,0.273,0.28
233,-0.09,-0.009,0.026,0.039,0.058,0.17,0.24,0.263,0.198,0.185,0.368,0.367,0.376,0.203,0.223,0.212,0.209,0.217
234,-0.18,0.015,0.065,0.048,0.075,0.176,0.272,0.129,0.258,0.159,0.312,0.314,0.316,0.17,0.19,0.179,0.179,0.185
235,-0.211,0.142,-0.109,0.134,0.079,0.041,0.206,0.136,0.242,0.146,0.279,0.28,0.283,0.152,0.171,0.159,0.161,0.166
236,-0.159,0.112,0.085,0.22,0.068,0.082,0.093,0.162,0.19,0.124,0.267,0.27,0.269,0.145,0.164,0.15,0.154,0.157
237,-0.058,0.202,0.007,0.225,0.064,0.242,0.051,0.198,0.155,0.081,0.264,0.268,0.265,0.144,0.163,0.149,0.153,0.156
238,0.012,0.208,-0.003,0.179,0.062,0.332,0.043,0.285,0.068,0.087,0.265,0.27,0.268,0.145,0.164,0.148,0.157,0.154
239,0.069,0.276,-0.003,0.079,0.061,0.227,0.159,0.289,0.11,0.108,0.267,0.274,0.272,0.147,0.164,0.15,0.16,0.155
240,0.102,0.192,-0.025,0.08,0.055,0.12,0.198,0.383,0.138,0.153,0.271,0.275,0.276,0.15,0.163,0.152,0.157,0.158
241,0.13,0.174,0.125,0.06,0.05,0.104,0.294,0.227,0.167,0.18,0.278,0.28,0.282,0.153,0.167,0.155,0.159,0.163
242,0.054,0.309,0.144,0.049,0.057,0.07,0.262,0.119,0.256,0.161,0.286,0.288,0.289,0.156,0.171,0.162,0.161,0.167
243,0.17,0.221,0.126,0.076,0.07,0.105,0.154,0.174,0.251,0.183,0.293,0.296,0.297,0.159,0.178,0.165,0.167,0.169
244,0.172,0.203,0.236,0.083,0.087,0.066,0.127,0.133,0.208,0.164,0.298,0.302,0.302,0.162,0.181,0.168,0.171,0.173
245,0.077,0.187,0.239,0.084,0.089,0.117,0.058,0.348,0.143,0.143,0.301,0.305,0.305,0.164,0.182,0.168,0.172,0.176
246,0.044,0.226,0.201,0.05,0.095,0.198,0.112,0.325,0.073,0.137,0.305,0.309,0.309,0.166,0.184,0.17,0.174,0.177
247,0.002,0.293,0.114,0.029,0.086,0.255,0.097,0.193,0.137,0.099,0.309,0.313,0.315,0.169,0.185,0.174,0.177,0.179
248,0.152,0.111,0.079,0.039,0.069,0.379,0.13,0.157,0.202,0.142,0.316,0.319,0.322,0.173,0.19,0.179,0.179,0.182
249,0.118,0.127,0.13,0.044,0.058,0.323,0.118,0.13,0.219,0.156,0.319,0.325,0.326,0.176,0.194,0.18,0.182,0.186
250,-0.027,0.235,-0.034,0.043,0.065,0.151,0.093,0.209,0.191,0.161,0.316,0.323,0.327,0.175,0.197,0.18,0.182,0.187
251,0.005,0.272,-0.02,0.049,0.07,0.067,0.093,0.169,0.17,0.152,0.316,0.319,0.326,0.174,0.197,0.18,0.182,0.186
252,0.068,0.14,0.053,0.077,0.089,0.048,0.164,0.053,0.17,0.188,0.318,0.319,0.331,0.176,0.197,0.181,0.184,0.187
