,0,1,2,3,4,5,6
220,0.26,0.253,0.732,0.703,0.061,0.131,0.107
221,0.286,0.36,0.77,0.696,0.192,0.184,0.261
222,0.372,0.489,0.811,0.722,0.33,0.152,0.318
223,0.435,0.493,0.828,0.82,0.445,0.17,0.23
224,0.464,0.45,0.824,0.852,0.407,0.179,0.154
225,0.429,0.33,0.856,0.888,0.246,0.215,0.226
226,0.218,0.362,0.897,0.912,0.467,0.328,0.443
227,0.338,0.304,0.979,1.007,0.702,0.464,0.623
228,0.752,0.301,1.026,1.135,1.205,0.675,0.842
229,0.871,0.403,1.129,1.14,1.394,0.826,1.028
230,0.879,0.504,1.137,1.027,1.298,0.947,1.079
231,0.565,0.491,1.017,0.839,1.176,0.93,1.132
232,0.343,0.344,0.813,0.688,0.893,0.785,1.012
233,0.281,0.131,0.593,0.56,0.774,0.677,0.856
234,0.209,0.097,0.484,0.448,0.684,0.514,0.662
235,0.421,0.17,0.418,0.321,0.844,0.426,0.444
236,0.558,0.138,0.351,0.285,0.791,0.366,0.444
237,0.428,0.131,0.313,0.237,0.709,0.321,0.451
238,0.317,0.161,0.248,0.214,0.596,0.244,0.406
239,0.169,0.21,0.192,0.163,0.496,0.19,0.37
240,0.097,0.24,0.136,0.118,0.532,0.155,0.333
241,0.112,0.156,0.133,0.121,0.359,0.168,0.284
242,-0.04,0.097,0.181,0.126,0.59,0.201,0.326
243,-0.078,0.172,0.237,0.194,0.71,0.218,0.277
244,-0.056,0.234,0.275,0.196,0.711,0.241,0.291
245,0.065,0.248,0.26,0.188,0.553,0.238,0.28
246,0.202,0.157,0.228,0.175,0.399,0.247,0.273
247,0.364,0.106,0.226,0.144,0.462,0.298,0.31
248,0.448,0.137,0.192,0.169,0.552,0.273,0.308
249,0.235,0.151,0.184,0.146,0.494,0.253,0.308
250,0.118,0.214,0.168,0.14,0.446,0.203,0.307
251,0.093,0.246,0.211,0.181,0.444,0.251,0.368
252,0.116,0.228,0.292,0.21,0.661,0.333,0.393
253,0.258,0.236,0.35,0.286,0.818,0.35,0.441
254,0.372,0.247,0.411,0.324,0.764,0.389,0.489
255,0.484,0.183,0.444,0.388,0.593,0.404,0.587
256,0.47,0.258,0.529,0.468,0.685,0.506,0.694
257,0.514,0.38,0.692,0.557,1.026,0.606,0.732
258,0.562,0.555,0.897,0.729,1.357,0.766,0.953
259,0.945,0.772,1.13,0.983,1.554,1.009,1.252
260,1.331,0.782,1.372,1.252,1.542,1.275,1.479
261,1.48,1.079,1.558,1.424,1.573,1.447,1.553
262,1.537,1.331,1.608,1.441,1.584,1.464,1.445
263,1.44,1.49,1.49,1.346,1.55,1.402,1.39
264,1.514,1.569,1.267,1.214,1.409,1.26,1.313
265,1.479,1.462,1.059,1.034,1.143,1.086,1.146
266,1.366,1.367,0.917,0.89,0.948,0.914,0.978
267,1.198,1.232,0.798,0.771,0.818,0.787,0.839
268,1.104,1.104,0.711,0.686,0.723,0.691,0.727
269,1.014,1.031,0.648,0.627,0.654,0.619,0.652
270,0.972,1.001,0.613,0.594,0.611,0.578,0.611
271,0.968,1.006,0.605,0.585,0.588,0.557,0.586
272,0.98,1.011,0.606,0.584,0.569,0.538,0.568
273,0.989,1.026,0.608,0.584,0.551,0.517,0.546
274,0.983,1.013,0.605,0.582,0.534,0.498,0.526
275,0.972,0.991,0.597,0.576,0.508,0.476,0.507
276,0.96,0.969,0.588,0.566,0.482,0.453,0.482
277,0.955,0.954,0.579,0.558,0.462,0.436,0.464
278,0.955,0.971,0.584,0.56,0.46,0.432,0.46
279,0.954,1.001,0.601,0.576,0.476,0.448,0.474
280,0.976,1.042,0.622,0.599,0.5,0.473,0.498
281,1.019,1.064,0.638,0.616,0.521,0.492,0.52
282,1.036,1.054,0.638,0.618,0.52,0.491,0.517
283,1.004,1.009,0.615,0.594,0.488,0.459,0.485
284,0.925,0.941,0.573,0.551,0.435,0.408,0.432
285,0.838,0.863,0.525,0.503,0.377,0.353,0.374
286,0.782,0.797,0.486,0.465,0.334,0.31,0.332
287,0.747,0.765,0.464,0.444,0.31,0.29,0.312
288,0.744,0.76,0.461,0.44,0.311,0.293,0.316
289,0.77,0.786,0.474,0.456,0.34,0.322,0.346
290,0.79,0.804,0.487,0.471,0.37,0.352,0.374
291,0.753,0.767,0.47,0.455,0.361,0.341,0.364
292,0.65,0.66,0.412,0.397,0.301,0.281,0.305
293,0.508,0.52,0.331,0.317,0.217,0.196,0.221
294,0.382,0.396,0.259,0.248,0.15,0.129,0.153
295,0.292,0.308,0.206,0.199,0.109,0.091,0.113
296,0.227,0.245,0.168,0.162,0.084,0.069,0.09
297,0.177,0.194,0.137,0.133,0.067,0.055,0.075
298,0.137,0.153,0.11,0.108,0.053,0.044,0.063
299,0.108,0.122,0.089,0.09,0.045,0.038,0.055
300,0.085,0.097,0.073,0.075,0.039,0.033,0.047
301,0.068,0.08,0.06,0.062,0.036,0.029,0.043
302,0.053,0.067,0.049,0.053,0.032,0.025,0.04
303,0.043,0.058,0.041,0.045,0.027,0.022,0.038
304,0.038,0.052,0.035,0.039,0.026,0.022,0.037
305,0.035,0.048,0.031,0.035,0.026,0.021,0.035
306,0.031,0.045,0.028,0.032,0.027,0.02,0.034
307,0.025,0.041,0.025,0.029,0.024,0.018,0.031
308,0.021,0.036,0.022,0.027,0.022,0.017,0.028
309,0.02,0.033,0.019,0.026,0.021,0.018,0.027
310,0.021,0.034,0.018,0.026,0.022,0.019,0.028
311,0.022,0.033,0.016,0.025,0.02,0.019,0.027
312,0.022,0.036,0.017,0.024,0.019,0.017,0.027
313,0.022,0.034,0.016,0.023,0.02,0.016,0.027
314,0.023,0.035,0.017,0.023,0.023,0.016,0.03
315,0.024,0.034,0.017,0.023,0.024,0.016,0.03
316,0.022,0.032,0.016,0.022,0.023,0.016,0.028
317,0.019,0.032,0.016,0.021,0.024,0.014,0.026
318,0.016,0.031,0.015,0.02,0.023,0.013,0.024
319,0.015,0.029,0.014,0.02,0.021,0.015,0.022
320,0.017,0.029,0.015,0.021,0.021,0.016,0.022
321,0.02,0.032,0.016,0.022,0.02,0.018,0.023
322,0.021,0.034,0.016,0.021,0.02,0.017,0.024
323,0.022,0.032,0.015,0.019,0.02,0.015,0.024
324,0.02,0.028,0.013,0.017,0.02,0.014,0.021
325,0.02,0.028,0.014,0.018,0.022,0.013,0.022
326,0.02,0.029,0.015,0.019,0.024,0.014,0.022
327,0.021,0.031,0.013,0.018,0.025,0.012,0.022
328,0.02,0.03,0.011,0.018,0.025,0.012,0.022
329,0.019,0.029,0.011,0.018,0.021,0.012,0.021
330,0.016,0.028,0.012,0.017,0.019,0.013,0.022
331,0.013,0.026,0.012,0.018,0.019,0.013,0.021
332,0.013,0.026,0.013,0.018,0.02,0.014,0.021
333,0.015,0.029,0.014,0.019,0.02,0.015,0.024
334,0.017,0.031,0.014,0.02,0.019,0.016,0.024
335,0.016,0.031,0.011,0.018,0.018,0.014,0.022
336,0.014,0.029,0.01,0.016,0.017,0.013,0.02
337,0.015,0.026,0.011,0.016,0.02,0.013,0.02
338,0.016,0.026,0.013,0.018,0.022,0.014,0.021
339,0.016,0.025,0.014,0.018,0.022,0.014,0.021
340,0.015,0.025,0.012,0.016,0.018,0.013,0.022
341,0.012,0.025,0.01,0.014,0.014,0.012,0.021
342,0.012,0.025,0.009,0.014,0.016,0.012,0.02
343,0.012,0.024,0.01,0.015,0.019,0.012,0.018
344,0.013,0.024,0.011,0.016,0.019,0.013,0.018
345,0.01,0.023,0.009,0.015,0.014,0.013,0.017
346,0.006,0.02,0.007,0.012,0.011,0.011,0.015
347,0.008,0.02,0.004,0.011,0.012,0.01,0.013
348,0.011,0.022,0.006,0.012,0.018,0.01,0.015
349,0.012,0.022,0.008,0.013,0.021,0.011,0.017
350,0.008,0.02,0.008,0.014,0.018,0.012,0.017
351,0.005,0.019,0.009,0.014,0.017,0.013,0.017
352,0.006,0.019,0.008,0.014,0.015,0.013,0.018
353,0.007,0.021,0.009,0.014,0.014,0.013,0.02
354,0.007,0.02,0.009,0.012,0.015,0.011,0.018
355,0.007,0.017,0.008,0.011,0.017,0.01,0.016
356,0.005,0.015,0.006,0.01,0.019,0.009,0.015
357,0.004,0.014,0.004,0.011,0.018,0.01,0.016
358,0.004,0.015,0.003,0.011,0.016,0.013,0.018
359,0.003,0.016,0.003,0.01,0.016,0.013,0.017
360,0.003,0.015,0.004,0.01,0.017,0.012,0.016
361,0.004,0.016,0.004,0.011,0.017,0.012,0.016
362,0.004,0.016,0.004,0.011,0.016,0.011,0.017
363,0.005,0.017,0.004,0.011,0.017,0.011,0.017
364,0.004,0.016,0.005,0.011,0.018,0.011,0.016
365,0.004,0.017,0.006,0.012,0.017,0.014,0.016
366,0.005,0.019,0.007,0.013,0.015,0.016,0.018
367,0.004,0.018,0.007,0.013,0.014,0.015,0.019
368,0.003,0.017,0.005,0.012,0.015,0.011,0.019
369,0.003,0.016,0.005,0.012,0.017,0.011,0.019
370,0.003,0.016,0.004,0.012,0.017,0.011,0.017
371,0.003,0.015,0.004,0.013,0.017,0.012,0.016
372,0.003,0.015,0.003,0.013,0.018,0.012,0.016
373,0.002,0.014,0.003,0.012,0.016,0.011,0.015
374,0.002,0.013,0.005,0.011,0.016,0.011,0.016
375,0,0.013,0.005,0.012,0.017,0.011,0.016
376,-0.001,0.012,0.006,0.012,0.015,0.01,0.015
377,0,0.012,0.006,0.012,0.017,0.01,0.014
378,0.001,0.013,0.004,0.011,0.016,0.009,0.014
379,0.003,0.015,0.004,0.01,0.016,0.008,0.016
380,0.004,0.015,0.003,0.01,0.014,0.008,0.016
381,0.001,0.013,0.005,0.01,0.013,0.009,0.015
382,-0.001,0.011,0.006,0.012,0.015,0.01,0.013
383,-0.004,0.01,0.004,0.011,0.014,0.009,0.015
384,-0.004,0.01,0.004,0.009,0.011,0.009,0.016
385,-0.001,0.012,0.002,0.008,0.009,0.008,0.016
386,0,0.014,0.004,0.007,0.011,0.009,0.016
387,0.001,0.013,0.004,0.008,0.012,0.01,0.015
388,-0.001,0.011,0.003,0.009,0.011,0.01,0.014
389,-0.003,0.01,0.004,0.011,0.01,0.011,0.013
390,-0.003,0.012,0.004,0.012,0.01,0.01,0.015
391,-0.003,0.013,0.003,0.012,0.013,0.012,0.016
392,0,0.014,0.003,0.012,0.015,0.012,0.019
393,0.003,0.014,0.004,0.01,0.016,0.01,0.019
394,0.001,0.012,0.005,0.009,0.014,0.008,0.015
395,-0.001,0.011,0.004,0.009,0.013,0.008,0.014
396,-0.002,0.009,0.004,0.01,0.011,0.009,0.014
397,-0.001,0.011,0.004,0.011,0.01,0.009,0.015
398,0.001,0.013,0.005,0.011,0.01,0.011,0.016
399,0.001,0.014,0.005,0.01,0.013,0.011,0.015
400,0,0.015,0.004,0.01,0.017,0.011,0.016
401,-0.001,0.014,0.004,0.009,0.016,0.01,0.015
402,-0.001,0.013,0.004,0.009,0.013,0.008,0.015
403,0,0.014,0.004,0.009,0.014,0.008,0.014
404,0.002,0.013,0.002,0.008,0.018,0.008,0.016
405,0.003,0.014,0.001,0.008,0.018,0.008,0.016
406,0.004,0.015,0.003,0.009,0.015,0.009,0.015
407,0.003,0.018,0.005,0.011,0.015,0.01,0.017
408,0.004,0.019,0.006,0.012,0.017,0.01,0.019
409,0.006,0.019,0.003,0.011,0.017,0.01,0.02
410,0.002,0.014,0,0.008,0.014,0.009,0.015
411,-0.001,0.011,-0.001,0.006,0.012,0.008,0.011
412,-0.002,0.011,0.001,0.009,0.013,0.008,0.012
413,-0.001,0.014,0.004,0.011,0.015,0.009,0.016
414,0.002,0.016,0.004,0.012,0.015,0.009,0.018
415,0.001,0.015,0.004,0.01,0.012,0.008,0.017
416,0,0.014,0.003,0.009,0.011,0.008,0.014
417,-0.001,0.013,0.003,0.009,0.011,0.008,0.013
418,-0.001,0.014,0.001,0.009,0.014,0.008,0.014
419,0.001,0.016,0,0.01,0.016,0.01,0.018
420,0.004,0.015,0.001,0.012,0.015,0.012,0.019
421,0.001,0.014,0.002,0.012,0.012,0.012,0.017
422,-0.002,0.013,0.002,0.011,0.011,0.009,0.016
423,-0.002,0.015,0.003,0.01,0.012,0.007,0.016
424,-0.002,0.015,0.004,0.009,0.015,0.007,0.016
425,-0.003,0.014,0.004,0.008,0.015,0.006,0.014
426,-0.001,0.013,0.003,0.007,0.013,0.006,0.012
427,0.003,0.014,0.001,0.006,0.013,0.007,0.014
428,0.001,0.013,0.001,0.007,0.014,0.009,0.012
429,-0.002,0.011,0,0.008,0.015,0.009,0.011
430,-0.005,0.01,-0.001,0.008,0.013,0.008,0.011
431,-0.004,0.013,0.001,0.009,0.01,0.011,0.015
432,-0.002,0.015,0.004,0.01,0.009,0.012,0.015
433,-0.002,0.013,0.005,0.011,0.009,0.01,0.012
434,0.001,0.011,0.004,0.01,0.01,0.007,0.01
435,0,0.009,0.001,0.007,0.011,0.004,0.01
436,-0.003,0.008,-0.001,0.005,0.01,0.004,0.011
437,-0.005,0.008,-0.002,0.005,0.01,0.004,0.01
438,-0.004,0.009,-0.001,0.007,0.012,0.006,0.01
439,-0.001,0.011,0.003,0.011,0.013,0.009,0.012
440,0,0.013,0.005,0.013,0.011,0.01,0.015
441,-0.004,0.009,0.003,0.011,0.008,0.009,0.012
442,-0.006,0.006,-0.001,0.006,0.008,0.004,0.009
443,-0.005,0.007,-0.002,0.006,0.011,0.004,0.009
444,-0.001,0.011,0.002,0.01,0.013,0.009,0.013
445,-0.002,0.012,0.003,0.012,0.011,0.011,0.014
446,-0.008,0.009,0.001,0.01,0.007,0.01,0.012
447,-0.012,0.005,-0.004,0.004,0.005,0.005,0.008
448,-0.009,0.005,-0.005,0.002,0.006,0.002,0.006
449,-0.003,0.009,-0.003,0.005,0.009,0.004,0.01
450,0,0.011,-0.001,0.008,0.012,0.007,0.011
451,0,0.012,0,0.009,0.014,0.009,0.012
452,-0.003,0.01,0.003,0.01,0.014,0.01,0.011
453,-0.006,0.009,0.003,0.01,0.01,0.01,0.009
454,-0.008,0.009,0.003,0.01,0.008,0.008,0.009
455,-0.008,0.008,-0.001,0.007,0.006,0.005,0.007
456,-0.006,0.008,0,0.006,0.003,0.003,0.007
457,-0.005,0.008,0.003,0.005,0.002,0.006,0.007
458,-0.009,0.007,0.002,0.005,-0.002,0.008,0.007
459,-0.01,0.009,0,0.005,-0.001,0.01,0.009
460,-0.012,0.007,-0.003,0.007,0.001,0.007,0.007
461,-0.014,0.003,-0.004,0.007,0.004,0.001,0.005
462,-0.013,0.001,-0.002,0.008,0.008,0.001,0.003
463,-0.01,0.003,0,0.008,0.01,0.004,0.005
464,-0.004,0.008,0.002,0.008,0.013,0.006,0.008
465,-0.003,0.01,0.003,0.008,0.015,0.003,0.01
466,-0.002,0.01,0.001,0.006,0.016,0,0.011
467,0,0.013,0.001,0.007,0.014,0.001,0.013
468,0,0.012,0.001,0.009,0.016,0.005,0.014
469,0,0.01,0,0.008,0.016,0.007,0.01
470,-0.003,0.008,0,0.007,0.014,0.007,0.009
471,-0.005,0.007,0.002,0.007,0.008,0.006,0.007
472,-0.005,0.01,0.004,0.008,0.002,0.007,0.008
473,-0.006,0.01,0.003,0.009,0.001,0.007,0.011
474,-0.008,0.008,0.001,0.009,0.001,0.005,0.01
475,-0.01,0.006,-0.001,0.009,0.004,0.007,0.009
476,-0.013,0.004,-0.003,0.009,0.006,0.008,0.007
477,-0.013,0.004,-0.002,0.009,0.004,0.008,0.007
478,-0.013,0.005,0,0.008,0.005,0.003,0.007
479,-0.009,0.006,0.003,0.008,0.01,0.002,0.007
480,-0.011,0.003,0.002,0.008,0.012,0.003,0.005
481,-0.016,0.001,0,0.01,0.007,0.006,0.003
482,-0.019,0.001,-0.002,0.01,-0.002,0.007,0.004
483,-0.019,0.005,-0.002,0.007,-0.006,0.006,0.007
484,-0.015,0.004,-0.001,0.002,-0.004,0.004,0.006
485,-0.013,-0.001,-0.003,-0.002,0.001,-0.001,-0.002
486,-0.012,-0.001,-0.005,-0.003,0.003,-0.003,-0.004
487,-0.014,-0.001,-0.006,0,0.002,-0.002,-0.001
488,-0.018,-0.001,-0.008,0.001,-0.002,0,-0.001
