,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
190,0.268,0.22,0.035,0.121,-0.452,-0.012,-0.256,-0.099,-0.203,-0.006,-0.134,0.11,0.197,0.194,0.131
191,0.33,0.258,0.106,0.052,-0.67,-0.181,-0.563,-0.377,-0.058,-0.115,-0.11,-0.05,-0.002,0.114,0.011
192,0.367,0.204,0.105,-0.229,-0.731,-0.41,-0.554,-0.612,-0.081,-0.194,-0.144,-0.126,-0.079,0.001,-0.022
193,0.217,0.187,0.053,-0.303,-0.434,-0.438,-0.522,-0.835,0.075,-0.163,-0.162,-0.125,-0.178,-0.02,0.081
194,0.044,0.231,-0.001,-0.267,-0.275,-0.4,-0.385,-0.857,-0.126,-0.213,-0.012,-0.023,-0.115,-0.012,0.062
195,0.117,0.261,-0.067,-0.133,-0.469,-0.269,-0.344,-0.816,-0.253,-0.314,0.142,-0.027,-0.049,0.006,0.011
196,0.025,0.008,0.034,0.143,-0.706,-0.121,-0.531,-0.78,-0.142,-0.341,0.204,-0.048,0.128,-0.034,-0.058
197,-0.026,0.004,0.095,0.012,-0.732,-0.182,-0.424,-0.77,-0.206,-0.435,0.147,-0.072,0.274,0.01,-0.02
198,-0.053,0.064,0.156,-0.152,-0.525,-0.128,-0.194,-0.744,-0.056,-0.371,-0.043,-0.134,0.057,0.122,0.185
199,-0.056,0.087,0.177,-0.342,-0.202,-0.25,-0.126,-0.828,-0.203,-0.278,-0.109,-0.006,-0.103,0.158,0.388
200,-0.01,0.191,0.144,-0.257,-0.142,-0.248,-0.132,-0.915,-0.015,-0.095,-0.051,0.085,-0.21,0.132,0.529
201,0.036,0.085,0.133,-0.073,-0.242,-0.44,-0.008,-0.666,0.059,-0.207,0.119,0.01,-0.072,0.093,0.647
202,0.088,0.228,0.085,0.095,-0.293,-0.539,0.016,-0.426,-0.038,-0.348,0.108,0.027,0.244,0.139,0.597
203,0.199,0.134,0.052,0.211,-0.244,-0.476,-0.013,-0.251,-0.081,-0.676,0.129,-0.016,0.215,0.312,0.603
204,0.352,0.051,0.084,0.26,-0.269,-0.138,-0.061,-0.271,-0.161,-0.645,0.188,0.146,0.163,0.414,0.612
205,0.367,0.012,0.132,0.244,-0.385,-0.139,-0.086,-0.565,0.01,-0.269,0.239,0.34,0.138,0.384,0.875
206,0.359,0.061,0.097,0.078,-0.474,-0.31,-0.015,-0.697,-0.021,0.05,0.405,0.378,0.297,0.386,1.256
207,0.309,0.06,0.066,0.088,-0.421,-0.309,0.013,-0.671,-0.098,0.058,0.451,0.58,0.486,0.55,1.255
208,0.169,0.138,0.025,0.146,-0.253,-0.355,-0.245,-0.648,-0.135,-0.103,0.617,0.66,0.526,0.836,1.148
