,0,1,2,3,4
190,-0.072,-0.17,0.193,-0.184,-0.122
191,-0.058,-0.062,0.257,-0.253,-0.148
192,-0.07,-0.106,0.053,-0.205,0.021
193,0.014,-0.149,0.068,-0.359,0.161
194,0.085,-0.006,0.031,-0.488,0.233
195,0.092,0.06,-0.177,-0.418,0.319
196,-0.046,0.334,-0.062,-0.228,0.094
197,-0.15,0.213,-0.075,-0.118,-0.101
198,-0.176,-0.164,-0.256,-0.097,-0.385
199,-0.129,-0.288,-0.008,-0.115,-0.38
200,0.141,-0.051,0.057,-0.134,-0.195
201,0.389,0.22,0.27,-0.017,-0.129
202,0.447,0.336,0.354,-0.056,0.13
203,0.233,0.212,0.19,0.09,0.278
204,0.003,0.135,0.363,0.235,0.065
205,-0.026,0.092,0.31,0.249,-0.148
206,0.114,-0.002,0.203,0.237,-0.217
207,0.192,-0.032,0.005,0.178,0.171
208,0.147,0.083,0.153,0.234,0.476
209,0.085,0.038,0.387,0.313,0.255
210,0.146,0.034,0.281,0.334,0.162
211,0.101,0.18,-0.007,0.334,0.057
212,0.218,0.211,-0.211,0.414,0.237
213,0.019,0.357,-0.089,0.323,0.259
214,-0.048,0.409,0.184,0.35,0.188
215,0.027,0.476,0.318,0.296,0.276
216,0.185,0.595,0.351,0.472,0.309
217,0.42,0.557,0.378,0.545,0.34
218,0.473,0.684,0.427,0.622,0.341
219,0.69,0.8,0.454,0.666,0.443
220,0.842,0.714,0.534,0.732,0.484
221,0.849,0.739,0.737,0.97,0.461
222,0.714,0.743,0.779,1.036,0.709
223,0.668,0.843,1.096,1.064,0.926
224,0.717,1.019,1.203,1.032,1.076
225,0.786,1.095,1.162,1.159,1.198
226,0.744,1.221,1.19,1.34,1.141
227,1.011,1.302,1.177,1.571,1.372
228,1.263,1.42,1.798,1.819,1.554
229,1.263,1.556,2.167,1.99,1.68
230,1.124,1.671,2.169,2.006,1.808
231,0.773,1.359,1.932,1.916,1.791
232,0.551,1.231,1.588,1.856,1.754
233,0.549,1.118,1.593,1.744,1.681
234,0.483,0.769,1.536,1.59,1.549
235,0.529,0.801,1.455,1.518,1.495
236,0.435,0.576,1.414,1.431,1.384
237,0.233,0.57,1.354,1.568,1.381
238,0.251,0.481,1.358,1.54,1.272
239,0.324,0.319,1.159,1.471,1.267
240,0.485,0.365,1.266,1.513,1.233
241,0.448,0.459,1.344,1.615,1.336
242,0.323,0.632,1.702,1.792,1.474
243,0.083,0.749,1.796,1.759,1.405
244,0.058,0.778,1.598,1.614,1.424
245,0.129,0.458,1.414,1.519,1.273
246,0.129,0.596,1.174,1.619,1.354
247,0.162,0.879,1.299,1.677,1.415
248,0.105,0.902,1.359,1.69,1.267
249,0.123,0.938,1.639,1.593,1.458
250,0.122,0.627,1.665,1.458,1.486
251,0.029,0.575,1.556,1.435,1.521
252,0.238,0.634,1.49,1.531,1.507
253,0.381,0.524,1.321,1.656,1.353
254,0.513,0.672,1.374,1.703,1.385
255,0.594,0.852,1.345,1.64,1.35
256,0.523,1.054,1.314,1.601,1.375
257,0.795,1.176,1.496,1.649,1.402
258,1.158,1.256,1.602,1.679,1.488
259,1.411,1.432,1.668,1.705,1.594
260,1.466,1.615,1.613,1.632,1.624
261,1.432,1.672,1.37,1.452,1.502
262,1.471,1.542,1.168,1.239,1.257
263,1.387,1.292,0.926,0.996,1.015
264,1.211,1.104,0.742,0.797,0.811
265,0.976,0.961,0.615,0.646,0.66
266,0.866,0.835,0.507,0.539,0.549
267,0.774,0.72,0.43,0.46,0.467
268,0.705,0.656,0.377,0.404,0.411
269,0.658,0.606,0.337,0.363,0.37
270,0.63,0.581,0.315,0.337,0.343
271,0.622,0.575,0.302,0.323,0.326
272,0.626,0.581,0.291,0.31,0.312
273,0.632,0.592,0.28,0.299,0.301
274,0.633,0.589,0.268,0.289,0.291
275,0.627,0.581,0.259,0.278,0.281
276,0.618,0.573,0.246,0.266,0.268
277,0.611,0.568,0.235,0.257,0.257
278,0.617,0.571,0.233,0.255,0.253
279,0.631,0.583,0.241,0.261,0.26
280,0.651,0.6,0.254,0.273,0.272
281,0.666,0.618,0.264,0.285,0.283
282,0.664,0.617,0.263,0.286,0.284
283,0.642,0.592,0.248,0.269,0.268
284,0.597,0.548,0.223,0.239,0.24
285,0.549,0.505,0.195,0.21,0.21
286,0.513,0.469,0.171,0.187,0.186
287,0.49,0.446,0.159,0.175,0.174
288,0.484,0.441,0.161,0.177,0.175
289,0.499,0.455,0.175,0.192,0.189
290,0.51,0.469,0.191,0.209,0.206
291,0.49,0.451,0.185,0.204,0.202
292,0.423,0.391,0.155,0.172,0.169
293,0.332,0.308,0.111,0.127,0.122
294,0.26,0.238,0.077,0.091,0.084
295,0.205,0.185,0.056,0.071,0.061
296,0.166,0.148,0.044,0.057,0.048
297,0.132,0.118,0.036,0.048,0.04
298,0.106,0.096,0.03,0.042,0.034
299,0.087,0.079,0.028,0.039,0.031
300,0.073,0.067,0.026,0.038,0.029
301,0.062,0.056,0.022,0.034,0.027
302,0.055,0.048,0.019,0.029,0.024
303,0.05,0.042,0.016,0.026,0.021
304,0.043,0.038,0.014,0.024,0.018
305,0.037,0.035,0.014,0.024,0.014
306,0.035,0.03,0.015,0.025,0.014
307,0.036,0.028,0.015,0.026,0.016
308,0.037,0.028,0.015,0.026,0.018
309,0.036,0.03,0.013,0.026,0.016
310,0.034,0.031,0.012,0.023,0.014
311,0.033,0.031,0.012,0.021,0.014
312,0.032,0.031,0.012,0.021,0.015
313,0.032,0.03,0.014,0.022,0.015
314,0.031,0.03,0.013,0.023,0.014
315,0.031,0.029,0.011,0.024,0.014
316,0.031,0.028,0.01,0.024,0.015
317,0.032,0.028,0.012,0.024,0.016
318,0.034,0.028,0.013,0.024,0.017
319,0.031,0.028,0.012,0.023,0.016
320,0.029,0.026,0.009,0.023,0.015
321,0.028,0.026,0.009,0.023,0.013
322,0.028,0.026,0.011,0.021,0.013
323,0.029,0.029,0.011,0.021,0.016
324,0.029,0.029,0.01,0.021,0.014
325,0.03,0.028,0.01,0.021,0.013
326,0.031,0.027,0.012,0.021,0.013
327,0.031,0.026,0.014,0.022,0.016
328,0.03,0.026,0.013,0.025,0.017
329,0.028,0.022,0.01,0.022,0.013
330,0.025,0.021,0.009,0.02,0.011
331,0.026,0.024,0.009,0.018,0.012
332,0.025,0.022,0.008,0.018,0.011
333,0.029,0.024,0.008,0.019,0.01
