,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7
220,0.169,0.178,0.167,0.105,0.11,0.103,0.001,-0.437,-0.386,-0.037,0.015,0.277,0.263,0.27,0.272,0.107,0.11,0.11,0.351,0.332,0.332,0.854,0.823,0.844
221,0.173,0.18,0.169,0.106,0.112,0.105,0.005,-0.065,0.084,0.176,0.211,0.234,0.288,0.3,0.304,0.119,0.122,0.12,0.346,0.325,0.328,0.801,0.787,0.861
222,0.181,0.189,0.175,0.111,0.118,0.109,0.004,0.274,0.265,0.283,0.276,0.272,0.316,0.327,0.335,0.13,0.131,0.13,0.347,0.325,0.327,0.749,0.744,0.792
223,0.188,0.196,0.183,0.114,0.122,0.111,0.001,0.182,0.194,0.342,0.341,0.358,0.342,0.351,0.361,0.136,0.138,0.136,0.346,0.323,0.323,0.719,0.711,0.734
224,0.202,0.209,0.195,0.122,0.13,0.118,0.001,0.231,0.196,0.48,0.46,0.502,0.373,0.38,0.39,0.146,0.149,0.146,0.349,0.327,0.325,0.676,0.663,0.689
225,0.218,0.225,0.211,0.131,0.14,0.126,0.003,0.335,0.269,0.661,0.608,0.675,0.402,0.41,0.423,0.157,0.16,0.158,0.353,0.334,0.332,0.634,0.617,0.661
226,0.237,0.245,0.228,0.142,0.152,0.136,0.008,0.56,0.456,0.845,0.791,0.852,0.434,0.443,0.457,0.169,0.172,0.17,0.36,0.343,0.343,0.589,0.572,0.627
227,0.256,0.267,0.246,0.154,0.164,0.146,0.011,0.862,0.757,0.949,0.913,0.929,0.466,0.476,0.496,0.18,0.183,0.18,0.373,0.356,0.356,0.543,0.526,0.575
228,0.276,0.288,0.266,0.165,0.175,0.156,0.01,1.092,1.006,0.892,0.885,0.863,0.497,0.51,0.532,0.19,0.193,0.189,0.389,0.371,0.371,0.505,0.487,0.529
229,0.298,0.311,0.287,0.178,0.187,0.167,0.009,1.111,1.061,0.712,0.717,0.674,0.528,0.54,0.564,0.201,0.205,0.2,0.41,0.39,0.389,0.477,0.462,0.503
230,0.32,0.335,0.31,0.19,0.201,0.179,0.008,0.907,0.898,0.505,0.504,0.473,0.556,0.568,0.595,0.211,0.217,0.211,0.435,0.414,0.413,0.469,0.452,0.499
231,0.344,0.36,0.333,0.205,0.216,0.193,0.011,0.643,0.638,0.348,0.349,0.327,0.582,0.594,0.624,0.223,0.229,0.223,0.465,0.442,0.441,0.475,0.458,0.507
232,0.37,0.387,0.357,0.22,0.232,0.208,0.013,0.446,0.444,0.248,0.25,0.232,0.607,0.618,0.653,0.235,0.24,0.235,0.498,0.475,0.474,0.49,0.474,0.515
233,0.395,0.413,0.381,0.234,0.248,0.222,0.013,0.338,0.339,0.19,0.191,0.178,0.634,0.645,0.68,0.246,0.252,0.246,0.535,0.508,0.509,0.513,0.496,0.533
234,0.419,0.438,0.404,0.249,0.263,0.236,0.012,0.284,0.284,0.16,0.161,0.151,0.658,0.671,0.706,0.258,0.265,0.257,0.571,0.542,0.542,0.54,0.523,0.557
235,0.442,0.464,0.427,0.263,0.277,0.25,0.012,0.254,0.254,0.144,0.144,0.137,0.685,0.699,0.733,0.269,0.276,0.269,0.609,0.579,0.576,0.571,0.551,0.592
236,0.464,0.487,0.449,0.277,0.291,0.262,0.013,0.241,0.241,0.138,0.138,0.13,0.708,0.722,0.759,0.279,0.286,0.279,0.644,0.612,0.608,0.6,0.58,0.632
237,0.488,0.512,0.472,0.292,0.305,0.274,0.013,0.237,0.238,0.136,0.136,0.128,0.724,0.741,0.78,0.286,0.295,0.287,0.675,0.645,0.639,0.628,0.608,0.666
238,0.511,0.535,0.494,0.306,0.32,0.287,0.015,0.238,0.24,0.138,0.137,0.128,0.741,0.758,0.797,0.293,0.303,0.295,0.708,0.673,0.671,0.657,0.635,0.698
239,0.533,0.557,0.516,0.32,0.334,0.299,0.016,0.241,0.244,0.14,0.14,0.13,0.755,0.774,0.814,0.3,0.311,0.303,0.739,0.702,0.7,0.686,0.663,0.73
240,0.552,0.578,0.535,0.33,0.345,0.311,0.016,0.244,0.246,0.14,0.142,0.131,0.774,0.793,0.835,0.307,0.316,0.31,0.77,0.731,0.729,0.713,0.687,0.75
241,0.568,0.595,0.552,0.339,0.354,0.318,0.014,0.247,0.249,0.14,0.142,0.131,0.794,0.813,0.857,0.314,0.322,0.317,0.801,0.758,0.757,0.739,0.711,0.77
242,0.58,0.61,0.565,0.346,0.361,0.324,0.013,0.253,0.255,0.142,0.144,0.134,0.812,0.832,0.88,0.32,0.327,0.322,0.827,0.785,0.782,0.759,0.732,0.791
243,0.588,0.618,0.572,0.35,0.365,0.329,0.013,0.261,0.263,0.148,0.148,0.139,0.822,0.843,0.892,0.324,0.332,0.326,0.843,0.8,0.798,0.769,0.745,0.812
244,0.591,0.621,0.574,0.353,0.369,0.332,0.015,0.267,0.27,0.153,0.152,0.144,0.82,0.844,0.892,0.325,0.334,0.328,0.847,0.804,0.8,0.77,0.751,0.822
245,0.595,0.623,0.577,0.356,0.37,0.334,0.016,0.27,0.274,0.155,0.154,0.146,0.816,0.837,0.88,0.323,0.333,0.326,0.843,0.802,0.798,0.77,0.752,0.818
246,0.601,0.631,0.582,0.359,0.373,0.336,0.015,0.273,0.278,0.155,0.156,0.146,0.812,0.832,0.876,0.322,0.33,0.324,0.847,0.805,0.8,0.778,0.757,0.813
247,0.606,0.638,0.587,0.362,0.376,0.338,0.013,0.278,0.282,0.155,0.157,0.147,0.808,0.825,0.871,0.319,0.326,0.319,0.851,0.809,0.804,0.787,0.761,0.821
248,0.606,0.637,0.587,0.361,0.376,0.338,0.013,0.285,0.288,0.158,0.16,0.15,0.794,0.813,0.858,0.313,0.319,0.313,0.849,0.804,0.801,0.786,0.76,0.829
249,0.596,0.627,0.577,0.356,0.371,0.333,0.014,0.289,0.293,0.163,0.163,0.152,0.768,0.789,0.828,0.304,0.309,0.304,0.829,0.784,0.781,0.769,0.747,0.818
250,0.576,0.606,0.559,0.345,0.359,0.324,0.016,0.29,0.295,0.164,0.164,0.154,0.731,0.752,0.784,0.292,0.297,0.293,0.791,0.751,0.749,0.74,0.72,0.788
251,0.549,0.578,0.535,0.329,0.344,0.309,0.017,0.289,0.295,0.164,0.164,0.154,0.691,0.712,0.74,0.277,0.281,0.279,0.751,0.714,0.711,0.704,0.687,0.743
252,0.517,0.547,0.505,0.311,0.324,0.292,0.017,0.292,0.297,0.165,0.165,0.156,0.645,0.664,0.689,0.26,0.262,0.261,0.703,0.671,0.667,0.666,0.647,0.7
253,0.484,0.513,0.473,0.292,0.304,0.274,0.017,0.3,0.303,0.169,0.169,0.16,0.592,0.61,0.633,0.24,0.242,0.242,0.654,0.622,0.619,0.625,0.607,0.653
254,0.451,0.478,0.44,0.273,0.283,0.256,0.016,0.303,0.307,0.172,0.172,0.162,0.53,0.547,0.568,0.216,0.217,0.217,0.598,0.566,0.566,0.579,0.563,0.606
255,0.422,0.445,0.411,0.256,0.266,0.241,0.015,0.3,0.305,0.17,0.171,0.16,0.462,0.479,0.495,0.191,0.19,0.193,0.542,0.513,0.515,0.535,0.52,0.565
256,0.4,0.42,0.39,0.243,0.254,0.23,0.016,0.293,0.299,0.166,0.168,0.157,0.395,0.412,0.422,0.166,0.164,0.168,0.494,0.468,0.471,0.5,0.485,0.531
257,0.383,0.403,0.374,0.233,0.244,0.22,0.016,0.29,0.295,0.163,0.165,0.155,0.334,0.349,0.353,0.143,0.141,0.145,0.452,0.43,0.43,0.472,0.457,0.501
258,0.364,0.384,0.355,0.221,0.232,0.209,0.017,0.3,0.302,0.168,0.168,0.16,0.279,0.293,0.293,0.122,0.12,0.123,0.411,0.39,0.391,0.445,0.429,0.467
259,0.335,0.355,0.328,0.204,0.213,0.192,0.015,0.318,0.319,0.177,0.176,0.168,0.23,0.243,0.239,0.102,0.099,0.103,0.368,0.348,0.348,0.411,0.395,0.43
260,0.298,0.318,0.293,0.183,0.191,0.172,0.014,0.33,0.333,0.184,0.184,0.174,0.191,0.203,0.195,0.086,0.084,0.087,0.322,0.305,0.305,0.368,0.354,0.387
261,0.256,0.272,0.251,0.159,0.165,0.149,0.015,0.326,0.328,0.182,0.183,0.172,0.161,0.173,0.162,0.074,0.072,0.075,0.273,0.261,0.26,0.317,0.306,0.34
262,0.212,0.224,0.208,0.132,0.138,0.125,0.016,0.306,0.309,0.173,0.173,0.163,0.139,0.15,0.137,0.066,0.064,0.066,0.225,0.216,0.215,0.263,0.255,0.284
263,0.169,0.178,0.165,0.106,0.111,0.102,0.016,0.283,0.286,0.161,0.16,0.152,0.122,0.131,0.119,0.059,0.058,0.059,0.181,0.174,0.173,0.213,0.204,0.232
264,0.13,0.138,0.128,0.084,0.088,0.082,0.015,0.266,0.27,0.151,0.151,0.143,0.109,0.117,0.105,0.054,0.053,0.055,0.144,0.139,0.138,0.17,0.162,0.188
265,0.101,0.107,0.1,0.068,0.07,0.065,0.014,0.26,0.263,0.147,0.147,0.139,0.099,0.107,0.094,0.05,0.049,0.051,0.117,0.113,0.113,0.138,0.13,0.156
266,0.08,0.085,0.081,0.055,0.057,0.053,0.015,0.255,0.258,0.144,0.144,0.136,0.093,0.101,0.089,0.047,0.046,0.048,0.099,0.096,0.095,0.115,0.11,0.131
267,0.066,0.071,0.067,0.045,0.048,0.045,0.014,0.242,0.243,0.138,0.137,0.13,0.09,0.098,0.086,0.044,0.044,0.045,0.087,0.085,0.084,0.1,0.095,0.114
268,0.056,0.06,0.058,0.039,0.041,0.04,0.013,0.217,0.219,0.126,0.122,0.118,0.089,0.097,0.085,0.044,0.044,0.043,0.079,0.078,0.076,0.089,0.084,0.1
269,0.052,0.055,0.052,0.037,0.039,0.038,0.014,0.195,0.197,0.115,0.111,0.108,0.091,0.099,0.087,0.045,0.046,0.044,0.075,0.075,0.073,0.083,0.077,0.094
270,0.049,0.052,0.05,0.035,0.037,0.036,0.013,0.176,0.178,0.104,0.101,0.099,0.092,0.1,0.088,0.045,0.046,0.045,0.071,0.072,0.071,0.078,0.071,0.091
271,0.048,0.051,0.049,0.035,0.035,0.035,0.011,0.156,0.157,0.093,0.09,0.088,0.094,0.1,0.09,0.045,0.047,0.045,0.07,0.07,0.07,0.074,0.068,0.085
272,0.048,0.051,0.05,0.035,0.036,0.034,0.009,0.124,0.125,0.075,0.073,0.072,0.095,0.1,0.091,0.045,0.047,0.046,0.072,0.07,0.07,0.071,0.066,0.08
273,0.048,0.052,0.051,0.035,0.037,0.035,0.008,0.087,0.089,0.056,0.053,0.054,0.094,0.099,0.091,0.046,0.047,0.046,0.071,0.07,0.069,0.068,0.063,0.076
274,0.049,0.051,0.05,0.035,0.038,0.036,0.01,0.064,0.066,0.045,0.042,0.043,0.096,0.102,0.092,0.047,0.048,0.047,0.072,0.07,0.07,0.067,0.062,0.075
275,0.047,0.049,0.048,0.034,0.037,0.036,0.011,0.05,0.052,0.038,0.036,0.036,0.096,0.102,0.093,0.046,0.047,0.047,0.07,0.069,0.069,0.064,0.059,0.074
276,0.045,0.047,0.044,0.032,0.034,0.034,0.011,0.043,0.044,0.033,0.032,0.031,0.096,0.103,0.094,0.046,0.047,0.046,0.068,0.066,0.067,0.06,0.055,0.072
277,0.042,0.045,0.043,0.03,0.033,0.032,0.01,0.038,0.039,0.029,0.028,0.028,0.097,0.103,0.096,0.047,0.048,0.046,0.066,0.066,0.066,0.058,0.053,0.071
278,0.041,0.044,0.042,0.03,0.032,0.031,0.009,0.033,0.035,0.027,0.026,0.026,0.098,0.104,0.099,0.047,0.048,0.046,0.066,0.067,0.066,0.057,0.052,0.07
279,0.041,0.045,0.043,0.03,0.032,0.031,0.008,0.03,0.032,0.026,0.025,0.025,0.1,0.106,0.1,0.046,0.048,0.046,0.067,0.068,0.067,0.058,0.053,0.07
280,0.042,0.046,0.045,0.031,0.033,0.032,0.007,0.028,0.03,0.026,0.023,0.023,0.1,0.107,0.099,0.046,0.047,0.045,0.068,0.069,0.068,0.06,0.055,0.071
281,0.045,0.048,0.048,0.033,0.034,0.034,0.006,0.026,0.029,0.025,0.021,0.022,0.1,0.106,0.098,0.046,0.047,0.046,0.071,0.071,0.071,0.063,0.057,0.072
282,0.047,0.05,0.049,0.034,0.035,0.035,0.006,0.026,0.028,0.024,0.021,0.022,0.098,0.104,0.096,0.046,0.047,0.047,0.073,0.072,0.072,0.064,0.059,0.073
283,0.046,0.049,0.047,0.033,0.035,0.034,0.007,0.026,0.028,0.024,0.021,0.022,0.095,0.101,0.092,0.047,0.047,0.047,0.072,0.071,0.071,0.063,0.057,0.072
284,0.041,0.044,0.043,0.03,0.032,0.032,0.008,0.026,0.028,0.023,0.02,0.022,0.09,0.096,0.087,0.045,0.045,0.045,0.068,0.067,0.067,0.057,0.052,0.067
285,0.035,0.038,0.037,0.026,0.029,0.028,0.008,0.025,0.026,0.022,0.02,0.022,0.086,0.092,0.082,0.043,0.044,0.043,0.062,0.062,0.061,0.051,0.046,0.061
286,0.031,0.033,0.033,0.024,0.026,0.026,0.007,0.024,0.026,0.023,0.02,0.021,0.083,0.09,0.079,0.043,0.043,0.042,0.058,0.059,0.058,0.047,0.042,0.056
287,0.029,0.031,0.032,0.023,0.025,0.025,0.006,0.023,0.025,0.023,0.02,0.02,0.081,0.088,0.076,0.042,0.042,0.041,0.056,0.056,0.055,0.045,0.04,0.054
288,0.029,0.032,0.032,0.023,0.025,0.025,0.006,0.022,0.024,0.022,0.019,0.02,0.078,0.084,0.074,0.041,0.041,0.041,0.056,0.055,0.055,0.045,0.04,0.054
289,0.032,0.034,0.034,0.024,0.027,0.026,0.006,0.021,0.022,0.021,0.017,0.018,0.075,0.081,0.07,0.039,0.039,0.039,0.056,0.056,0.055,0.047,0.042,0.056
290,0.035,0.038,0.037,0.027,0.028,0.028,0.007,0.02,0.021,0.02,0.017,0.019,0.072,0.078,0.068,0.037,0.038,0.038,0.057,0.057,0.057,0.05,0.046,0.059
291,0.036,0.039,0.038,0.028,0.028,0.029,0.007,0.02,0.021,0.02,0.018,0.019,0.07,0.075,0.065,0.037,0.037,0.037,0.056,0.057,0.056,0.05,0.046,0.06
292,0.031,0.034,0.033,0.025,0.025,0.027,0.007,0.018,0.019,0.019,0.016,0.018,0.064,0.068,0.058,0.034,0.035,0.034,0.049,0.05,0.05,0.043,0.039,0.054
293,0.024,0.026,0.026,0.019,0.02,0.022,0.007,0.016,0.017,0.017,0.014,0.016,0.055,0.059,0.05,0.03,0.031,0.03,0.039,0.041,0.04,0.033,0.03,0.043
294,0.017,0.019,0.02,0.015,0.015,0.018,0.006,0.013,0.014,0.016,0.012,0.014,0.046,0.051,0.04,0.026,0.027,0.026,0.03,0.032,0.031,0.025,0.022,0.034
295,0.014,0.015,0.017,0.013,0.013,0.016,0.006,0.012,0.012,0.016,0.013,0.014,0.038,0.044,0.033,0.023,0.023,0.024,0.024,0.026,0.025,0.02,0.017,0.028
296,0.012,0.014,0.016,0.013,0.013,0.015,0.006,0.012,0.012,0.016,0.012,0.014,0.033,0.038,0.027,0.021,0.021,0.021,0.02,0.023,0.022,0.019,0.015,0.027
297,0.011,0.013,0.014,0.013,0.013,0.016,0.005,0.011,0.012,0.015,0.012,0.013,0.027,0.033,0.023,0.02,0.019,0.019,0.017,0.02,0.02,0.017,0.013,0.025
298,0.011,0.013,0.014,0.012,0.013,0.016,0.004,0.011,0.012,0.014,0.012,0.013,0.023,0.029,0.018,0.018,0.018,0.017,0.015,0.018,0.017,0.016,0.012,0.024
299,0.012,0.013,0.016,0.012,0.013,0.016,0.005,0.012,0.012,0.015,0.012,0.014,0.021,0.027,0.014,0.018,0.017,0.017,0.014,0.017,0.016,0.016,0.012,0.024
300,0.012,0.013,0.015,0.012,0.014,0.015,0.005,0.011,0.011,0.015,0.013,0.014,0.019,0.024,0.01,0.017,0.017,0.016,0.013,0.016,0.015,0.015,0.012,0.024
301,0.011,0.013,0.015,0.013,0.013,0.015,0.006,0.011,0.012,0.015,0.013,0.013,0.017,0.021,0.008,0.016,0.015,0.015,0.011,0.014,0.014,0.015,0.011,0.022
302,0.01,0.013,0.014,0.012,0.013,0.015,0.007,0.01,0.011,0.014,0.012,0.012,0.015,0.018,0.007,0.014,0.014,0.014,0.01,0.012,0.013,0.013,0.01,0.02
303,0.01,0.012,0.013,0.011,0.012,0.014,0.007,0.009,0.011,0.014,0.011,0.012,0.012,0.017,0.005,0.012,0.013,0.012,0.01,0.011,0.011,0.012,0.009,0.02
304,0.011,0.012,0.014,0.011,0.011,0.014,0.007,0.01,0.011,0.014,0.011,0.013,0.012,0.017,0.004,0.012,0.013,0.012,0.01,0.011,0.011,0.013,0.01,0.02
305,0.011,0.012,0.013,0.012,0.012,0.014,0.008,0.011,0.012,0.014,0.011,0.013,0.012,0.016,0.004,0.012,0.014,0.012,0.01,0.011,0.012,0.013,0.01,0.02
306,0.011,0.012,0.014,0.012,0.013,0.015,0.009,0.012,0.012,0.014,0.012,0.014,0.013,0.016,0.004,0.013,0.014,0.013,0.01,0.012,0.012,0.013,0.01,0.02
307,0.01,0.012,0.014,0.012,0.014,0.015,0.008,0.011,0.012,0.015,0.012,0.014,0.013,0.017,0.003,0.013,0.014,0.013,0.009,0.012,0.012,0.013,0.01,0.02
308,0.01,0.012,0.013,0.012,0.013,0.015,0.007,0.01,0.011,0.014,0.012,0.013,0.012,0.016,0.003,0.012,0.013,0.013,0.008,0.011,0.011,0.012,0.01,0.021
309,0.01,0.013,0.013,0.011,0.012,0.014,0.006,0.009,0.011,0.014,0.011,0.014,0.011,0.015,0.003,0.012,0.013,0.012,0.008,0.011,0.011,0.012,0.009,0.02
310,0.009,0.012,0.013,0.012,0.012,0.013,0.007,0.009,0.011,0.013,0.012,0.013,0.011,0.014,0.004,0.011,0.012,0.01,0.008,0.011,0.011,0.012,0.008,0.019
311,0.009,0.012,0.013,0.011,0.012,0.013,0.007,0.009,0.01,0.013,0.011,0.013,0.01,0.014,0.003,0.01,0.011,0.01,0.007,0.01,0.009,0.011,0.007,0.018
312,0.009,0.011,0.012,0.011,0.012,0.012,0.007,0.01,0.01,0.013,0.01,0.012,0.01,0.014,0.003,0.01,0.01,0.01,0.007,0.009,0.009,0.01,0.007,0.017
313,0.009,0.01,0.012,0.011,0.012,0.012,0.007,0.01,0.01,0.012,0.01,0.011,0.01,0.014,0.002,0.01,0.011,0.011,0.007,0.009,0.01,0.011,0.007,0.016
314,0.009,0.01,0.012,0.01,0.011,0.013,0.007,0.008,0.01,0.012,0.009,0.011,0.01,0.013,0.0,0.01,0.011,0.011,0.007,0.009,0.01,0.011,0.007,0.014
315,0.01,0.01,0.013,0.01,0.011,0.013,0.008,0.008,0.01,0.012,0.01,0.012,0.009,0.013,0.001,0.01,0.011,0.01,0.007,0.009,0.01,0.011,0.007,0.014
316,0.01,0.01,0.013,0.01,0.011,0.013,0.008,0.009,0.01,0.012,0.009,0.012,0.01,0.013,0.003,0.01,0.011,0.01,0.006,0.009,0.01,0.011,0.008,0.015
317,0.01,0.01,0.013,0.012,0.011,0.013,0.009,0.01,0.01,0.013,0.011,0.012,0.012,0.013,0.004,0.011,0.011,0.01,0.007,0.009,0.009,0.011,0.009,0.016
318,0.01,0.01,0.011,0.011,0.011,0.013,0.009,0.009,0.01,0.013,0.011,0.011,0.01,0.012,0.004,0.011,0.01,0.01,0.006,0.009,0.008,0.011,0.008,0.018
319,0.009,0.01,0.011,0.01,0.01,0.013,0.008,0.008,0.01,0.013,0.01,0.01,0.009,0.012,0.003,0.011,0.01,0.009,0.006,0.009,0.008,0.011,0.007,0.018
320,0.009,0.01,0.011,0.009,0.011,0.013,0.009,0.008,0.009,0.012,0.009,0.01,0.009,0.012,0.002,0.011,0.01,0.009,0.006,0.009,0.008,0.011,0.007,0.018
321,0.008,0.009,0.011,0.009,0.01,0.013,0.01,0.008,0.01,0.012,0.009,0.011,0.009,0.013,0.002,0.01,0.011,0.009,0.006,0.009,0.008,0.01,0.007,0.017
322,0.008,0.008,0.01,0.009,0.009,0.012,0.009,0.007,0.009,0.011,0.008,0.01,0.009,0.013,0.001,0.009,0.01,0.009,0.006,0.008,0.007,0.009,0.007,0.015
323,0.006,0.008,0.009,0.007,0.009,0.011,0.007,0.006,0.007,0.01,0.006,0.009,0.006,0.012,0.0,0.008,0.008,0.008,0.004,0.007,0.006,0.008,0.005,0.014
324,0.007,0.008,0.009,0.007,0.009,0.011,0.006,0.005,0.007,0.01,0.005,0.008,0.006,0.011,-0.001,0.008,0.008,0.007,0.004,0.007,0.006,0.008,0.005,0.014
325,0.007,0.008,0.01,0.008,0.01,0.011,0.008,0.005,0.007,0.01,0.006,0.009,0.006,0.011,0.0,0.009,0.009,0.008,0.004,0.007,0.007,0.009,0.006,0.016
326,0.009,0.01,0.011,0.01,0.01,0.012,0.009,0.007,0.008,0.011,0.008,0.011,0.007,0.012,0.001,0.009,0.011,0.009,0.006,0.008,0.008,0.01,0.008,0.017
327,0.009,0.009,0.01,0.01,0.01,0.012,0.009,0.007,0.008,0.011,0.008,0.011,0.007,0.012,0.001,0.009,0.011,0.009,0.006,0.008,0.008,0.009,0.008,0.017
328,0.007,0.008,0.008,0.007,0.008,0.01,0.007,0.005,0.006,0.009,0.006,0.009,0.006,0.011,0.0,0.007,0.008,0.007,0.004,0.007,0.006,0.008,0.006,0.015
329,0.006,0.005,0.006,0.005,0.006,0.007,0.006,0.002,0.004,0.007,0.005,0.006,0.005,0.009,-0.001,0.005,0.006,0.005,0.001,0.005,0.004,0.005,0.003,0.012
330,0.004,0.005,0.006,0.005,0.006,0.007,0.008,0.003,0.004,0.007,0.005,0.006,0.005,0.008,0.0,0.006,0.006,0.004,0.001,0.004,0.003,0.006,0.004,0.012
331,0.005,0.005,0.006,0.006,0.006,0.008,0.008,0.004,0.005,0.007,0.006,0.005,0.005,0.008,0.002,0.006,0.007,0.005,0.002,0.004,0.003,0.007,0.003,0.012
332,0.005,0.006,0.007,0.007,0.008,0.009,0.007,0.005,0.006,0.008,0.006,0.007,0.005,0.01,0.001,0.007,0.008,0.006,0.004,0.005,0.005,0.008,0.004,0.013
