,0,1,2,3,4,5,6,7
220,0.435,0.418,-0.08,-0.289,-0.415,0.524,0.497,0.204
221,0.43,0.412,0.094,-0.009,-0.007,0.571,0.542,0.229
222,0.446,0.428,0.169,0.239,0.266,0.619,0.591,0.249
223,0.476,0.46,0.135,0.17,0.169,0.677,0.645,0.268
224,0.517,0.499,0.146,0.187,0.182,0.738,0.701,0.29
225,0.561,0.543,0.175,0.191,0.201,0.795,0.758,0.314
226,0.614,0.594,0.185,0.171,0.311,0.854,0.817,0.341
227,0.675,0.651,0.236,0.226,0.584,0.922,0.887,0.369
228,0.745,0.718,0.495,0.517,0.94,0.998,0.964,0.397
229,0.813,0.783,0.881,0.937,1.145,1.069,1.032,0.424
230,0.873,0.846,1.199,1.253,1.076,1.125,1.088,0.448
231,0.929,0.901,1.248,1.28,0.809,1.156,1.124,0.469
232,0.973,0.951,1.052,1.058,0.561,1.175,1.147,0.491
233,1.021,1.004,0.843,0.838,0.423,1.2,1.18,0.515
234,1.07,1.052,0.701,0.699,0.352,1.23,1.208,0.54
235,1.121,1.093,0.626,0.626,0.314,1.265,1.237,0.564
236,1.158,1.129,0.595,0.596,0.298,1.283,1.265,0.585
237,1.187,1.159,0.584,0.585,0.294,1.291,1.281,0.603
238,1.209,1.187,0.586,0.588,0.294,1.284,1.29,0.618
239,1.231,1.208,0.595,0.594,0.297,1.291,1.3,0.632
240,1.277,1.245,0.605,0.605,0.301,1.326,1.322,0.648
241,1.328,1.306,0.618,0.62,0.306,1.389,1.377,0.666
242,1.399,1.375,0.638,0.639,0.316,1.461,1.444,0.682
243,1.429,1.41,0.656,0.659,0.326,1.494,1.467,0.691
244,1.418,1.394,0.669,0.673,0.334,1.471,1.454,0.691
245,1.4,1.376,0.676,0.681,0.338,1.443,1.425,0.685
246,1.418,1.401,0.685,0.69,0.342,1.456,1.437,0.68
247,1.461,1.449,0.699,0.702,0.347,1.489,1.478,0.676
248,1.484,1.467,0.716,0.719,0.355,1.499,1.479,0.665
249,1.452,1.427,0.725,0.729,0.36,1.44,1.428,0.644
250,1.372,1.346,0.722,0.729,0.36,1.346,1.337,0.613
251,1.313,1.284,0.721,0.728,0.36,1.269,1.267,0.579
252,1.256,1.237,0.727,0.732,0.364,1.202,1.206,0.54
253,1.199,1.183,0.742,0.747,0.374,1.123,1.133,0.494
254,1.134,1.117,0.752,0.757,0.382,1.018,1.031,0.442
255,1.061,1.044,0.742,0.747,0.377,0.89,0.91,0.384
256,1.023,0.995,0.724,0.73,0.366,0.769,0.795,0.328
257,0.992,0.967,0.716,0.72,0.36,0.658,0.685,0.278
258,0.958,0.932,0.739,0.742,0.372,0.551,0.579,0.231
259,0.906,0.877,0.79,0.795,0.397,0.455,0.481,0.19
260,0.818,0.794,0.827,0.833,0.414,0.376,0.399,0.157
261,0.703,0.68,0.817,0.821,0.408,0.313,0.334,0.13
262,0.57,0.552,0.766,0.769,0.383,0.266,0.283,0.112
263,0.442,0.426,0.706,0.706,0.353,0.23,0.244,0.098
264,0.334,0.321,0.662,0.663,0.332,0.204,0.214,0.088
265,0.252,0.243,0.645,0.647,0.324,0.186,0.193,0.081
266,0.194,0.189,0.633,0.635,0.317,0.175,0.179,0.075
267,0.154,0.152,0.599,0.6,0.299,0.17,0.172,0.072
268,0.129,0.129,0.54,0.539,0.269,0.169,0.17,0.072
269,0.113,0.113,0.482,0.479,0.24,0.171,0.17,0.073
270,0.104,0.102,0.435,0.432,0.216,0.174,0.172,0.074
271,0.1,0.097,0.382,0.379,0.189,0.176,0.173,0.074
272,0.099,0.096,0.297,0.293,0.146,0.179,0.175,0.074
273,0.1,0.097,0.203,0.198,0.098,0.18,0.177,0.074
274,0.099,0.097,0.141,0.133,0.066,0.182,0.179,0.075
275,0.095,0.093,0.106,0.098,0.049,0.184,0.179,0.075
276,0.09,0.087,0.088,0.08,0.041,0.186,0.182,0.076
277,0.085,0.082,0.075,0.068,0.035,0.189,0.185,0.077
278,0.083,0.08,0.064,0.058,0.029,0.193,0.189,0.08
279,0.086,0.084,0.057,0.05,0.025,0.196,0.192,0.081
280,0.091,0.09,0.051,0.044,0.021,0.196,0.193,0.081
281,0.097,0.095,0.048,0.041,0.021,0.195,0.192,0.08
282,0.099,0.096,0.047,0.04,0.022,0.19,0.188,0.079
283,0.092,0.09,0.045,0.038,0.021,0.182,0.179,0.076
284,0.077,0.077,0.043,0.036,0.019,0.173,0.171,0.072
285,0.061,0.063,0.041,0.034,0.017,0.164,0.163,0.068
286,0.051,0.052,0.04,0.032,0.016,0.157,0.156,0.066
287,0.046,0.047,0.038,0.03,0.016,0.153,0.151,0.065
288,0.048,0.049,0.035,0.028,0.015,0.149,0.146,0.063
289,0.058,0.057,0.032,0.025,0.014,0.143,0.141,0.06
290,0.069,0.067,0.03,0.023,0.014,0.136,0.135,0.057
291,0.07,0.067,0.028,0.021,0.013,0.126,0.126,0.054
292,0.054,0.054,0.024,0.017,0.011,0.112,0.113,0.049
293,0.031,0.034,0.021,0.013,0.008,0.097,0.098,0.042
294,0.015,0.017,0.017,0.01,0.005,0.081,0.082,0.035
295,0.008,0.01,0.015,0.008,0.004,0.068,0.068,0.03
296,0.007,0.008,0.015,0.007,0.005,0.056,0.057,0.026
297,0.007,0.008,0.014,0.006,0.004,0.046,0.047,0.022
298,0.005,0.007,0.013,0.004,0.003,0.037,0.038,0.019
299,0.004,0.007,0.012,0.004,0.004,0.031,0.032,0.016
300,0.005,0.007,0.012,0.005,0.004,0.025,0.025,0.014
301,0.003,0.005,0.011,0.004,0.002,0.02,0.02,0.011
302,0.002,0.004,0.009,0.002,0.001,0.016,0.015,0.008
303,0.001,0.004,0.008,0,0,0.013,0.011,0.006
304,0.001,0.005,0.008,0,-0.001,0.011,0.01,0.006
305,0.001,0.006,0.008,0,-0.001,0.011,0.009,0.007
306,0.001,0.006,0.009,0.001,0,0.01,0.009,0.008
307,0.001,0.006,0.01,0.001,0,0.01,0.009,0.008
