,0,1,2,3
220,1.057,1.002,0.727,0.614
221,1.025,0.997,0.812,0.676
222,1.013,0.993,0.886,0.739
223,1.042,1.044,0.976,0.857
224,1.073,1.076,1.04,0.963
225,1.103,1.101,1.09,1.05
226,1.158,1.156,1.115,1.108
227,1.242,1.226,1.098,1.124
228,1.359,1.346,1.082,1.13
229,1.468,1.445,1.05,1.113
230,1.515,1.497,1.041,1.102
231,1.474,1.467,1.045,1.102
232,1.364,1.339,1.06,1.108
233,1.281,1.241,1.095,1.129
234,1.196,1.16,1.127,1.156
235,1.132,1.11,1.167,1.178
236,1.045,1.052,1.189,1.203
237,0.95,0.946,1.211,1.218
238,0.868,0.848,1.223,1.221
239,0.819,0.781,1.228,1.225
240,0.817,0.758,1.264,1.247
241,0.853,0.806,1.326,1.31
242,0.922,0.888,1.41,1.399
243,0.933,0.913,1.444,1.443
244,0.877,0.863,1.423,1.407
245,0.826,0.815,1.389,1.358
246,0.874,0.844,1.41,1.389
247,0.993,0.945,1.466,1.47
248,1.046,0.987,1.489,1.514
249,1.001,0.928,1.45,1.458
250,0.92,0.87,1.364,1.356
251,0.953,0.893,1.312,1.303
252,1.037,1.001,1.28,1.283
253,1.113,1.097,1.236,1.251
254,1.148,1.131,1.176,1.19
255,1.156,1.146,1.094,1.111
256,1.206,1.184,1.034,1.061
257,1.26,1.241,0.99,1.032
258,1.293,1.28,0.945,0.995
259,1.286,1.273,0.893,0.941
260,1.207,1.202,0.812,0.858
261,1.06,1.062,0.703,0.745
262,0.878,0.882,0.578,0.614
263,0.697,0.7,0.456,0.487
264,0.553,0.554,0.357,0.382
265,0.447,0.446,0.286,0.307
266,0.371,0.369,0.234,0.253
267,0.321,0.319,0.198,0.216
268,0.289,0.287,0.172,0.189
269,0.268,0.267,0.154,0.168
270,0.259,0.258,0.143,0.156
271,0.257,0.255,0.138,0.148
272,0.258,0.255,0.132,0.142
273,0.259,0.256,0.126,0.136
274,0.26,0.255,0.119,0.132
275,0.258,0.253,0.113,0.126
276,0.254,0.249,0.108,0.12
277,0.251,0.247,0.104,0.115
278,0.253,0.248,0.103,0.114
279,0.259,0.254,0.105,0.118
280,0.268,0.263,0.11,0.123
281,0.276,0.271,0.116,0.128
282,0.277,0.272,0.118,0.129
