,0,1,2,3,4,5,6,7,8,9,10,11
220,0.264,0.267,0.136,0.133,0.359,0.344,0.181,0.169,0.127,0.063,0.064,0.059
221,0.264,0.268,0.138,0.135,0.316,0.303,0.162,0.15,0.148,0.076,0.074,0.07
222,0.276,0.28,0.145,0.14,0.281,0.269,0.145,0.134,0.169,0.087,0.086,0.082
223,0.293,0.298,0.156,0.149,0.256,0.244,0.131,0.123,0.191,0.098,0.097,0.094
224,0.316,0.32,0.167,0.159,0.223,0.211,0.113,0.107,0.214,0.11,0.109,0.105
225,0.343,0.348,0.18,0.173,0.186,0.176,0.095,0.089,0.243,0.123,0.122,0.118
226,0.373,0.379,0.194,0.187,0.15,0.142,0.076,0.07,0.273,0.139,0.135,0.132
227,0.41,0.416,0.212,0.204,0.113,0.107,0.058,0.052,0.31,0.156,0.153,0.15
228,0.45,0.456,0.231,0.222,0.082,0.078,0.043,0.038,0.349,0.174,0.171,0.167
229,0.488,0.494,0.25,0.241,0.059,0.056,0.032,0.027,0.389,0.193,0.189,0.185
230,0.526,0.534,0.272,0.261,0.043,0.04,0.025,0.02,0.431,0.213,0.21,0.205
231,0.564,0.572,0.291,0.279,0.034,0.031,0.021,0.017,0.473,0.235,0.231,0.225
232,0.603,0.611,0.312,0.299,0.029,0.026,0.018,0.015,0.515,0.258,0.254,0.247
233,0.644,0.652,0.333,0.32,0.025,0.021,0.015,0.013,0.56,0.281,0.276,0.27
234,0.682,0.69,0.354,0.34,0.022,0.019,0.014,0.011,0.606,0.304,0.299,0.293
235,0.721,0.731,0.376,0.361,0.02,0.017,0.012,0.01,0.654,0.329,0.324,0.316
236,0.758,0.768,0.396,0.38,0.019,0.016,0.011,0.009,0.699,0.354,0.347,0.339
237,0.792,0.801,0.417,0.4,0.018,0.016,0.011,0.007,0.741,0.377,0.369,0.362
238,0.825,0.833,0.436,0.42,0.018,0.016,0.012,0.008,0.78,0.399,0.39,0.383
239,0.86,0.866,0.455,0.439,0.018,0.016,0.011,0.008,0.818,0.419,0.411,0.403
240,0.893,0.901,0.474,0.457,0.018,0.016,0.011,0.009,0.858,0.439,0.431,0.422
241,0.927,0.938,0.49,0.472,0.018,0.016,0.011,0.009,0.899,0.458,0.449,0.44
242,0.957,0.968,0.502,0.483,0.019,0.017,0.012,0.009,0.937,0.474,0.464,0.455
243,0.972,0.983,0.509,0.489,0.02,0.019,0.014,0.01,0.958,0.483,0.473,0.464
244,0.974,0.984,0.512,0.492,0.021,0.019,0.014,0.01,0.962,0.487,0.476,0.468
245,0.974,0.982,0.513,0.494,0.022,0.02,0.014,0.011,0.957,0.485,0.474,0.467
246,0.986,0.995,0.517,0.498,0.021,0.019,0.014,0.011,0.955,0.483,0.471,0.463
247,1.004,1.013,0.522,0.504,0.021,0.019,0.014,0.011,0.956,0.478,0.467,0.459
248,1.007,1.019,0.523,0.505,0.021,0.02,0.016,0.012,0.944,0.469,0.458,0.45
249,0.988,0.998,0.516,0.498,0.022,0.021,0.017,0.013,0.915,0.455,0.444,0.437
250,0.946,0.956,0.498,0.48,0.023,0.022,0.017,0.014,0.87,0.434,0.425,0.417
251,0.898,0.909,0.474,0.456,0.022,0.02,0.015,0.013,0.82,0.409,0.4,0.393
252,0.851,0.86,0.447,0.429,0.021,0.02,0.014,0.012,0.766,0.38,0.371,0.364
253,0.8,0.807,0.417,0.4,0.022,0.02,0.015,0.012,0.702,0.346,0.338,0.331
254,0.746,0.752,0.389,0.373,0.023,0.021,0.015,0.012,0.63,0.309,0.301,0.295
255,0.695,0.703,0.364,0.35,0.023,0.022,0.016,0.013,0.55,0.269,0.262,0.256
256,0.657,0.665,0.344,0.332,0.022,0.022,0.015,0.013,0.471,0.229,0.222,0.216
257,0.63,0.638,0.329,0.317,0.021,0.021,0.015,0.013,0.398,0.191,0.185,0.18
258,0.6,0.607,0.312,0.301,0.021,0.021,0.015,0.013,0.329,0.157,0.151,0.147
259,0.558,0.563,0.288,0.278,0.021,0.02,0.015,0.012,0.269,0.127,0.122,0.119
260,0.5,0.504,0.256,0.247,0.021,0.02,0.015,0.011,0.219,0.104,0.099,0.097
261,0.427,0.431,0.219,0.211,0.021,0.021,0.015,0.012,0.181,0.086,0.082,0.08
262,0.347,0.351,0.18,0.173,0.02,0.02,0.014,0.012,0.153,0.073,0.07,0.068
263,0.271,0.274,0.143,0.138,0.019,0.019,0.013,0.012,0.131,0.062,0.059,0.058
264,0.204,0.207,0.111,0.106,0.019,0.018,0.013,0.011,0.113,0.056,0.053,0.052
265,0.154,0.158,0.085,0.081,0.018,0.018,0.012,0.01,0.099,0.05,0.047,0.047
266,0.119,0.124,0.066,0.064,0.018,0.017,0.012,0.01,0.091,0.046,0.045,0.043
267,0.096,0.101,0.053,0.052,0.017,0.017,0.012,0.01,0.087,0.043,0.042,0.041
268,0.082,0.086,0.046,0.044,0.017,0.015,0.013,0.009,0.086,0.043,0.042,0.04
269,0.072,0.077,0.042,0.041,0.017,0.015,0.013,0.01,0.086,0.044,0.044,0.041
270,0.065,0.07,0.039,0.038,0.015,0.015,0.012,0.009,0.086,0.045,0.044,0.042
271,0.063,0.068,0.038,0.036,0.014,0.013,0.01,0.008,0.086,0.045,0.044,0.042
272,0.062,0.067,0.037,0.035,0.013,0.011,0.009,0.006,0.086,0.045,0.044,0.042
273,0.063,0.068,0.038,0.036,0.011,0.01,0.009,0.006,0.088,0.046,0.045,0.043
274,0.063,0.067,0.038,0.036,0.011,0.01,0.009,0.006,0.089,0.047,0.046,0.044
275,0.06,0.065,0.036,0.035,0.01,0.01,0.009,0.006,0.091,0.047,0.047,0.044
276,0.055,0.061,0.034,0.032,0.01,0.009,0.008,0.006,0.093,0.047,0.047,0.045
277,0.052,0.058,0.033,0.03,0.009,0.009,0.008,0.005,0.096,0.049,0.048,0.046
278,0.052,0.057,0.032,0.03,0.009,0.008,0.007,0.005,0.099,0.051,0.05,0.047
279,0.055,0.06,0.033,0.031,0.01,0.008,0.008,0.005,0.101,0.053,0.051,0.048
280,0.058,0.063,0.035,0.033,0.008,0.008,0.007,0.005,0.102,0.052,0.051,0.049
281,0.061,0.066,0.037,0.034,0.007,0.006,0.007,0.004,0.101,0.052,0.051,0.049
282,0.062,0.067,0.038,0.035,0.007,0.007,0.007,0.004,0.1,0.052,0.052,0.048
283,0.058,0.064,0.036,0.034,0.008,0.007,0.007,0.003,0.098,0.052,0.052,0.048
284,0.051,0.056,0.032,0.03,0.008,0.007,0.007,0.003,0.095,0.05,0.05,0.046
285,0.041,0.047,0.027,0.025,0.007,0.007,0.006,0.003,0.092,0.048,0.048,0.045
286,0.035,0.04,0.023,0.021,0.007,0.006,0.006,0.002,0.089,0.046,0.046,0.043
287,0.031,0.035,0.02,0.019,0.007,0.007,0.007,0.004,0.087,0.045,0.044,0.042
288,0.031,0.036,0.02,0.02,0.008,0.008,0.008,0.004,0.086,0.044,0.044,0.041
289,0.036,0.041,0.023,0.022,0.008,0.007,0.007,0.004,0.083,0.043,0.042,0.039
290,0.042,0.048,0.027,0.026,0.008,0.007,0.006,0.003,0.079,0.041,0.041,0.038
291,0.044,0.05,0.029,0.027,0.007,0.006,0.006,0.002,0.075,0.04,0.04,0.037
292,0.036,0.041,0.024,0.023,0.006,0.005,0.005,0.002,0.068,0.036,0.036,0.034
293,0.023,0.028,0.017,0.015,0.004,0.004,0.004,0.001,0.058,0.03,0.031,0.028
294,0.013,0.018,0.012,0.009,0.003,0.003,0.003,-0.001,0.049,0.025,0.025,0.023
295,0.008,0.013,0.01,0.007,0.003,0.002,0.002,-0.001,0.04,0.021,0.022,0.019
296,0.008,0.013,0.01,0.008,0.004,0.003,0.003,-0.001,0.034,0.02,0.019,0.017
297,0.008,0.012,0.01,0.009,0.005,0.003,0.004,0,0.028,0.017,0.017,0.014
298,0.006,0.011,0.008,0.008,0.004,0.003,0.004,0,0.022,0.013,0.013,0.011
299,0.005,0.01,0.008,0.007,0.004,0.004,0.004,0.001,0.018,0.011,0.011,0.009
