,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
220,0.078,0.063,0.111,0.101,0.086,0.104,0.107,0.125,0.166,0.158,0.178,0.175,0.197,0.197,0.226,0.238,0.246,0.079,0.076,0.072,0.139,0.137,0.123,0.153,0.158,0.165,0.191,0.186,0.183,0.215,0.241,0.297,0.247,0.282,0.285,0.303,0.305,0.4,0.381,0.031,0.029,0.043,0.036,0.055,0.056,0.074,0.065,0.074,0.067,0.081,0.093,0.095,0.095,0.111,0.109,0.124,0.121
221,0.08,0.065,0.115,0.102,0.089,0.106,0.11,0.13,0.168,0.162,0.18,0.178,0.199,0.198,0.23,0.242,0.248,0.071,0.071,0.064,0.126,0.122,0.112,0.137,0.143,0.15,0.172,0.169,0.165,0.191,0.212,0.263,0.22,0.251,0.256,0.271,0.27,0.356,0.333,0.037,0.035,0.05,0.042,0.066,0.066,0.085,0.074,0.083,0.077,0.095,0.107,0.111,0.11,0.13,0.127,0.142,0.138
222,0.081,0.069,0.12,0.107,0.093,0.11,0.114,0.136,0.178,0.173,0.188,0.186,0.211,0.21,0.241,0.254,0.259,0.064,0.064,0.057,0.113,0.108,0.101,0.124,0.128,0.134,0.153,0.15,0.148,0.169,0.187,0.232,0.194,0.22,0.227,0.239,0.236,0.314,0.292,0.042,0.04,0.056,0.049,0.075,0.075,0.098,0.085,0.095,0.089,0.108,0.12,0.129,0.124,0.147,0.145,0.162,0.157
223,0.084,0.072,0.122,0.111,0.097,0.114,0.119,0.14,0.186,0.182,0.197,0.195,0.223,0.22,0.253,0.271,0.273,0.055,0.056,0.05,0.101,0.098,0.088,0.111,0.113,0.118,0.136,0.133,0.132,0.148,0.166,0.207,0.173,0.195,0.203,0.212,0.209,0.28,0.265,0.045,0.042,0.059,0.052,0.08,0.081,0.105,0.092,0.104,0.098,0.118,0.131,0.142,0.136,0.161,0.16,0.179,0.174
224,0.088,0.076,0.128,0.118,0.104,0.122,0.129,0.15,0.197,0.195,0.212,0.212,0.24,0.236,0.272,0.293,0.294,0.049,0.047,0.044,0.089,0.086,0.075,0.097,0.098,0.101,0.118,0.115,0.115,0.128,0.141,0.179,0.151,0.169,0.176,0.183,0.182,0.242,0.231,0.051,0.046,0.067,0.06,0.09,0.091,0.112,0.103,0.116,0.11,0.131,0.149,0.159,0.152,0.18,0.178,0.2,0.197
225,0.096,0.083,0.139,0.128,0.114,0.134,0.14,0.165,0.212,0.212,0.232,0.233,0.261,0.258,0.297,0.319,0.321,0.042,0.042,0.041,0.078,0.075,0.064,0.083,0.085,0.087,0.101,0.099,0.097,0.109,0.12,0.151,0.128,0.146,0.15,0.156,0.157,0.205,0.197,0.057,0.053,0.076,0.07,0.102,0.104,0.124,0.117,0.132,0.127,0.149,0.168,0.181,0.173,0.204,0.2,0.229,0.225
226,0.102,0.089,0.148,0.139,0.123,0.146,0.151,0.179,0.228,0.23,0.253,0.254,0.284,0.281,0.324,0.349,0.351,0.035,0.036,0.034,0.066,0.063,0.053,0.069,0.071,0.072,0.083,0.082,0.08,0.089,0.096,0.124,0.104,0.12,0.124,0.128,0.128,0.167,0.158,0.063,0.06,0.084,0.077,0.115,0.117,0.136,0.131,0.148,0.143,0.168,0.189,0.202,0.194,0.229,0.225,0.258,0.253
227,0.107,0.093,0.16,0.149,0.132,0.157,0.162,0.194,0.247,0.249,0.275,0.277,0.309,0.309,0.354,0.381,0.385,0.026,0.029,0.027,0.053,0.05,0.041,0.055,0.056,0.056,0.065,0.062,0.061,0.069,0.072,0.096,0.08,0.092,0.094,0.098,0.097,0.128,0.119,0.068,0.065,0.092,0.085,0.127,0.131,0.153,0.145,0.165,0.159,0.187,0.209,0.227,0.216,0.255,0.252,0.289,0.284
228,0.112,0.097,0.17,0.158,0.14,0.168,0.174,0.21,0.267,0.268,0.298,0.299,0.335,0.334,0.384,0.414,0.421,0.017,0.02,0.019,0.04,0.036,0.029,0.04,0.041,0.04,0.047,0.044,0.045,0.048,0.051,0.07,0.057,0.064,0.069,0.071,0.067,0.092,0.084,0.073,0.069,0.099,0.091,0.138,0.143,0.171,0.159,0.181,0.174,0.206,0.23,0.252,0.238,0.282,0.28,0.321,0.314
229,0.118,0.103,0.183,0.169,0.151,0.182,0.188,0.226,0.287,0.289,0.321,0.323,0.361,0.36,0.415,0.45,0.458,0.013,0.015,0.014,0.032,0.029,0.022,0.03,0.031,0.03,0.034,0.031,0.034,0.034,0.033,0.051,0.042,0.045,0.05,0.05,0.047,0.065,0.059,0.081,0.075,0.109,0.101,0.153,0.158,0.188,0.175,0.2,0.191,0.226,0.255,0.279,0.263,0.311,0.311,0.355,0.346
