,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26
220,0.078,0.063,0.094,0.111,0.101,0.086,0.122,0.104,0.107,0.148,0.125,0.004,0.035,0.188,0.166,0.158,0.178,0.175,0.188,0.197,0.197,0.203,0.26,0.234,0.226,0.238,0.363,0.246,0.079,0.076,0.072,0.139,0.137,0.123,0.153,0.158,0.165,0.191,0.186,0.183,0.215,0.249,0.241,0.297,0.247,0.244,0.292,0.282,0.285,0.303,0.305,0.36,0.4,0.381,0.395,0.031,0.029,0.027,0.096,0.043,0.036,0.055,0.065,0.056,0.073,0.074,0.065,0.074,0.076,0.067,0.081,0.093,0.097,0.113,0.095,0.095,0.111,0.109,0.104,0.124,0.121,0.133
221,0.08,0.065,0.094,0.115,0.102,0.089,0.131,0.106,0.11,0.149,0.13,0.008,0.01,0.188,0.168,0.162,0.18,0.178,0.19,0.199,0.198,0.202,0.257,0.234,0.23,0.242,0.358,0.248,0.071,0.071,0.064,0.126,0.122,0.112,0.137,0.143,0.15,0.172,0.169,0.165,0.191,0.219,0.212,0.263,0.22,0.223,0.256,0.251,0.256,0.271,0.27,0.32,0.356,0.333,0.353,0.037,0.035,0.032,0.102,0.05,0.042,0.066,0.072,0.066,0.085,0.085,0.074,0.083,0.09,0.077,0.095,0.107,0.113,0.13,0.111,0.11,0.13,0.127,0.121,0.142,0.138,0.152
222,0.081,0.069,0.096,0.12,0.107,0.093,0.138,0.11,0.114,0.155,0.136,0.019,-0.017,0.194,0.178,0.173,0.188,0.186,0.197,0.211,0.21,0.212,0.262,0.247,0.241,0.254,0.35,0.259,0.064,0.064,0.057,0.113,0.108,0.101,0.124,0.128,0.134,0.153,0.15,0.148,0.169,0.188,0.187,0.232,0.194,0.199,0.23,0.22,0.227,0.239,0.236,0.282,0.314,0.292,0.315,0.042,0.04,0.036,0.107,0.056,0.049,0.075,0.083,0.075,0.095,0.098,0.085,0.095,0.101,0.089,0.108,0.12,0.13,0.147,0.129,0.124,0.147,0.145,0.137,0.162,0.157,0.172
223,0.084,0.072,0.096,0.122,0.111,0.097,0.141,0.114,0.119,0.16,0.14,0.043,-0.029,0.202,0.186,0.182,0.197,0.195,0.208,0.223,0.22,0.225,0.274,0.26,0.253,0.271,0.354,0.273,0.055,0.056,0.05,0.101,0.098,0.088,0.111,0.113,0.118,0.136,0.133,0.132,0.148,0.171,0.166,0.207,0.173,0.178,0.203,0.195,0.203,0.212,0.209,0.254,0.28,0.265,0.285,0.045,0.042,0.038,0.111,0.059,0.052,0.08,0.091,0.081,0.102,0.105,0.092,0.104,0.109,0.098,0.118,0.131,0.14,0.16,0.142,0.136,0.161,0.16,0.15,0.179,0.174,0.189
224,0.088,0.076,0.097,0.128,0.118,0.104,0.15,0.122,0.129,0.174,0.15,0.028,-0.039,0.218,0.197,0.195,0.212,0.212,0.223,0.24,0.236,0.244,0.298,0.281,0.272,0.293,0.37,0.294,0.049,0.047,0.044,0.089,0.086,0.075,0.097,0.098,0.101,0.118,0.115,0.115,0.128,0.152,0.141,0.179,0.151,0.158,0.18,0.169,0.176,0.183,0.182,0.225,0.242,0.231,0.248,0.051,0.046,0.043,0.118,0.067,0.06,0.09,0.1,0.091,0.114,0.112,0.103,0.116,0.123,0.11,0.131,0.149,0.155,0.18,0.159,0.152,0.18,0.178,0.169,0.2,0.197,0.211
225,0.096,0.083,0.102,0.139,0.128,0.114,0.159,0.134,0.14,0.192,0.165,0.013,-0.052,0.238,0.212,0.212,0.232,0.233,0.245,0.261,0.258,0.265,0.328,0.307,0.297,0.319,0.397,0.321,0.042,0.042,0.041,0.078,0.075,0.064,0.083,0.085,0.087,0.101,0.099,0.097,0.109,0.136,0.12,0.151,0.128,0.137,0.156,0.146,0.15,0.156,0.157,0.191,0.205,0.197,0.21,0.057,0.053,0.051,0.123,0.076,0.07,0.102,0.11,0.104,0.13,0.124,0.117,0.132,0.141,0.127,0.149,0.168,0.173,0.203,0.181,0.173,0.204,0.2,0.192,0.229,0.225,0.24
226,0.102,0.089,0.109,0.148,0.139,0.123,0.17,0.146,0.151,0.209,0.179,0.012,-0.063,0.256,0.228,0.23,0.253,0.254,0.266,0.284,0.281,0.288,0.355,0.333,0.324,0.349,0.411,0.351,0.035,0.036,0.034,0.066,0.063,0.053,0.069,0.071,0.072,0.083,0.082,0.08,0.089,0.112,0.096,0.124,0.104,0.115,0.129,0.12,0.124,0.128,0.128,0.158,0.167,0.158,0.173,0.063,0.06,0.055,0.132,0.084,0.077,0.115,0.123,0.117,0.144,0.136,0.131,0.148,0.158,0.143,0.168,0.189,0.196,0.228,0.202,0.194,0.229,0.225,0.217,0.258,0.253,0.271
227,0.107,0.093,0.117,0.16,0.149,0.132,0.183,0.157,0.162,0.223,0.194,0.012,-0.075,0.275,0.247,0.249,0.275,0.277,0.291,0.309,0.309,0.314,0.382,0.365,0.354,0.381,0.431,0.385,0.026,0.029,0.027,0.053,0.05,0.041,0.055,0.056,0.056,0.065,0.062,0.061,0.069,0.088,0.072,0.096,0.08,0.091,0.103,0.092,0.094,0.098,0.097,0.127,0.128,0.119,0.133,0.068,0.065,0.061,0.137,0.092,0.085,0.127,0.135,0.131,0.16,0.153,0.145,0.165,0.175,0.159,0.187,0.209,0.219,0.255,0.227,0.216,0.255,0.252,0.243,0.289,0.284,0.304
228,0.112,0.097,0.124,0.17,0.158,0.14,0.197,0.168,0.174,0.237,0.21,0.007,-0.088,0.295,0.267,0.268,0.298,0.299,0.315,0.335,0.334,0.342,0.414,0.398,0.384,0.414,0.462,0.421,0.017,0.02,0.019,0.04,0.036,0.029,0.04,0.041,0.04,0.047,0.044,0.045,0.048,0.068,0.051,0.07,0.057,0.068,0.076,0.064,0.069,0.071,0.067,0.095,0.092,0.084,0.096,0.073,0.069,0.065,0.145,0.099,0.091,0.138,0.146,0.143,0.175,0.171,0.159,0.181,0.193,0.174,0.206,0.23,0.239,0.281,0.252,0.238,0.282,0.28,0.269,0.321,0.314,0.338
229,0.118,0.103,0.13,0.183,0.169,0.151,0.212,0.182,0.188,0.253,0.226,0.014,-0.096,0.316,0.287,0.289,0.321,0.323,0.34,0.361,0.36,0.371,0.446,0.432,0.415,0.45,0.482,0.458,0.013,0.015,0.014,0.032,0.029,0.022,0.03,0.031,0.03,0.034,0.031,0.034,0.034,0.054,0.033,0.051,0.042,0.052,0.06,0.045,0.05,0.05,0.047,0.071,0.065,0.059,0.069,0.081,0.075,0.072,0.157,0.109,0.101,0.153,0.156,0.158,0.193,0.188,0.175,0.2,0.212,0.191,0.226,0.255,0.263,0.31,0.279,0.263,0.311,0.311,0.298,0.355,0.346,0.374
230,0.127,0.112,0.138,0.197,0.181,0.163,0.229,0.196,0.203,0.271,0.245,0.024,-0.104,0.34,0.31,0.31,0.348,0.349,0.367,0.389,0.388,0.401,0.482,0.465,0.448,0.486,0.514,0.495,0.011,0.012,0.012,0.027,0.023,0.017,0.024,0.025,0.024,0.026,0.023,0.026,0.025,0.045,0.021,0.037,0.031,0.042,0.049,0.033,0.037,0.036,0.033,0.056,0.047,0.042,0.052,0.089,0.083,0.08,0.167,0.119,0.112,0.169,0.168,0.174,0.212,0.205,0.192,0.22,0.234,0.212,0.249,0.28,0.288,0.341,0.307,0.291,0.343,0.343,0.329,0.392,0.382,0.413
231,0.135,0.12,0.145,0.211,0.195,0.175,0.245,0.212,0.219,0.293,0.263,0.022,-0.111,0.365,0.333,0.333,0.373,0.375,0.395,0.419,0.417,0.431,0.515,0.499,0.48,0.523,0.546,0.531,0.01,0.011,0.011,0.024,0.021,0.014,0.021,0.022,0.021,0.022,0.018,0.022,0.02,0.039,0.015,0.03,0.025,0.036,0.043,0.026,0.032,0.029,0.026,0.047,0.037,0.031,0.042,0.099,0.092,0.089,0.179,0.13,0.122,0.187,0.185,0.19,0.232,0.223,0.211,0.242,0.258,0.234,0.274,0.307,0.314,0.374,0.338,0.32,0.376,0.376,0.361,0.43,0.419,0.453
232,0.142,0.128,0.151,0.224,0.207,0.186,0.259,0.228,0.233,0.312,0.281,0.023,-0.114,0.389,0.356,0.357,0.399,0.402,0.423,0.448,0.447,0.461,0.548,0.535,0.514,0.56,0.567,0.568,0.008,0.01,0.01,0.022,0.02,0.011,0.018,0.019,0.018,0.019,0.015,0.019,0.015,0.034,0.012,0.024,0.021,0.03,0.037,0.022,0.026,0.023,0.021,0.04,0.029,0.024,0.034,0.107,0.1,0.096,0.19,0.141,0.133,0.203,0.204,0.208,0.254,0.242,0.232,0.263,0.283,0.256,0.3,0.336,0.342,0.409,0.37,0.352,0.41,0.41,0.394,0.468,0.458,0.495
233,0.149,0.136,0.159,0.238,0.22,0.199,0.271,0.243,0.249,0.331,0.302,0.026,-0.119,0.415,0.379,0.382,0.428,0.43,0.453,0.48,0.479,0.493,0.584,0.571,0.549,0.599,0.59,0.606,0.007,0.01,0.009,0.02,0.018,0.01,0.017,0.017,0.016,0.017,0.013,0.017,0.013,0.031,0.011,0.021,0.018,0.026,0.033,0.019,0.022,0.02,0.018,0.037,0.025,0.021,0.028,0.116,0.108,0.105,0.201,0.154,0.146,0.221,0.223,0.227,0.277,0.263,0.252,0.288,0.308,0.28,0.327,0.366,0.373,0.444,0.404,0.385,0.447,0.448,0.43,0.511,0.499,0.539
