,0,1,2,3
220,0.211,0.197,0.245,0.216
221,0.207,0.193,0.218,0.19
222,0.21,0.199,0.197,0.174
223,0.217,0.209,0.184,0.164
224,0.229,0.221,0.173,0.156
225,0.247,0.236,0.166,0.15
226,0.265,0.253,0.161,0.145
227,0.286,0.273,0.158,0.143
228,0.308,0.295,0.157,0.141
229,0.331,0.317,0.159,0.142
230,0.356,0.342,0.164,0.147
231,0.383,0.368,0.173,0.156
232,0.412,0.396,0.184,0.166
233,0.439,0.423,0.192,0.175
234,0.464,0.449,0.203,0.184
235,0.491,0.475,0.214,0.193
236,0.515,0.5,0.225,0.204
237,0.542,0.526,0.237,0.214
238,0.566,0.551,0.246,0.223
239,0.59,0.574,0.256,0.233
240,0.614,0.595,0.266,0.242
241,0.634,0.614,0.274,0.249
242,0.651,0.631,0.279,0.254
243,0.66,0.64,0.283,0.257
244,0.663,0.642,0.283,0.259
245,0.665,0.645,0.285,0.261
246,0.67,0.651,0.287,0.261
247,0.677,0.66,0.29,0.262
248,0.679,0.661,0.291,0.263
249,0.668,0.648,0.287,0.261
250,0.642,0.624,0.278,0.253
251,0.61,0.594,0.264,0.241
252,0.575,0.559,0.249,0.226
253,0.537,0.522,0.232,0.211
254,0.5,0.486,0.217,0.198
255,0.466,0.453,0.204,0.185
256,0.441,0.428,0.193,0.175
257,0.421,0.409,0.183,0.167
258,0.398,0.388,0.172,0.156
259,0.367,0.357,0.157,0.143
260,0.325,0.316,0.14,0.126
261,0.277,0.269,0.121,0.108
262,0.226,0.219,0.102,0.092
263,0.177,0.171,0.084,0.076
264,0.134,0.129,0.067,0.062
265,0.101,0.098,0.053,0.049
266,0.078,0.076,0.042,0.039
267,0.062,0.059,0.034,0.031
268,0.052,0.049,0.029,0.026
269,0.046,0.043,0.025,0.023
270,0.042,0.039,0.023,0.021
271,0.041,0.038,0.022,0.02
272,0.039,0.037,0.022,0.018
273,0.039,0.037,0.022,0.018
274,0.04,0.037,0.02,0.018
275,0.039,0.036,0.019,0.018
276,0.036,0.033,0.017,0.016
277,0.033,0.03,0.015,0.014
278,0.031,0.03,0.015,0.014
279,0.033,0.032,0.016,0.014
280,0.036,0.035,0.017,0.016
281,0.037,0.035,0.019,0.016
282,0.036,0.034,0.018,0.015
283,0.033,0.031,0.017,0.013
284,0.028,0.026,0.014,0.01
285,0.022,0.02,0.01,0.008
286,0.018,0.016,0.008,0.006
287,0.016,0.015,0.008,0.006
288,0.018,0.017,0.01,0.008
289,0.022,0.021,0.012,0.009
290,0.024,0.023,0.013,0.01
291,0.024,0.023,0.013,0.009
292,0.018,0.017,0.01,0.006
293,0.009,0.008,0.005,0.002
294,0.002,0,0,-0.002
