,0,0,0,1,1,1
220,0.211,0.247,0.197,0.245,0.216,0.229
221,0.207,0.242,0.193,0.218,0.19,0.202
222,0.21,0.243,0.199,0.197,0.174,0.191
223,0.217,0.251,0.209,0.184,0.164,0.183
224,0.229,0.267,0.221,0.173,0.156,0.176
225,0.247,0.287,0.236,0.166,0.15,0.169
226,0.265,0.309,0.253,0.161,0.145,0.163
227,0.286,0.332,0.273,0.158,0.143,0.158
228,0.308,0.356,0.295,0.157,0.141,0.157
229,0.331,0.382,0.317,0.159,0.142,0.158
230,0.356,0.409,0.342,0.164,0.147,0.163
231,0.383,0.436,0.368,0.173,0.156,0.173
232,0.412,0.466,0.396,0.184,0.166,0.184
233,0.439,0.494,0.423,0.192,0.175,0.194
234,0.464,0.523,0.449,0.203,0.184,0.201
235,0.491,0.554,0.475,0.214,0.193,0.208
236,0.515,0.584,0.5,0.225,0.204,0.217
237,0.542,0.614,0.526,0.237,0.214,0.229
238,0.566,0.639,0.551,0.246,0.223,0.239
239,0.59,0.662,0.574,0.256,0.233,0.249
240,0.614,0.685,0.595,0.266,0.242,0.256
241,0.634,0.71,0.614,0.274,0.249,0.263
242,0.651,0.734,0.631,0.279,0.254,0.27
243,0.66,0.745,0.64,0.283,0.257,0.274
244,0.663,0.746,0.642,0.283,0.259,0.276
245,0.665,0.744,0.645,0.285,0.261,0.277
246,0.67,0.747,0.651,0.287,0.261,0.277
247,0.677,0.757,0.66,0.29,0.262,0.279
248,0.679,0.76,0.661,0.291,0.263,0.279
249,0.668,0.749,0.648,0.287,0.261,0.276
250,0.642,0.722,0.624,0.278,0.253,0.271
251,0.61,0.688,0.594,0.264,0.241,0.26
252,0.575,0.646,0.559,0.249,0.226,0.243
253,0.537,0.602,0.522,0.232,0.211,0.226
254,0.5,0.559,0.486,0.217,0.198,0.21
255,0.466,0.522,0.453,0.204,0.185,0.199
256,0.441,0.496,0.428,0.193,0.175,0.189
257,0.421,0.476,0.409,0.183,0.167,0.181
258,0.398,0.454,0.388,0.172,0.156,0.171
259,0.367,0.42,0.357,0.157,0.143,0.157
260,0.325,0.377,0.316,0.14,0.126,0.142
261,0.277,0.326,0.269,0.121,0.108,0.124
262,0.226,0.269,0.219,0.102,0.092,0.106
263,0.177,0.213,0.171,0.084,0.076,0.088
264,0.134,0.166,0.129,0.067,0.062,0.072
265,0.101,0.131,0.098,0.053,0.049,0.059
266,0.078,0.106,0.076,0.042,0.039,0.048
267,0.062,0.087,0.059,0.034,0.031,0.04
268,0.052,0.076,0.049,0.029,0.026,0.037
269,0.046,0.069,0.043,0.025,0.023,0.036
270,0.042,0.065,0.039,0.023,0.021,0.035
271,0.041,0.063,0.038,0.022,0.02,0.033
272,0.039,0.062,0.037,0.022,0.018,0.031
273,0.039,0.064,0.037,0.022,0.018,0.031
274,0.04,0.064,0.037,0.02,0.018,0.032
275,0.039,0.063,0.036,0.019,0.018,0.032
276,0.036,0.059,0.033,0.017,0.016,0.031
277,0.033,0.054,0.03,0.015,0.014,0.029
278,0.031,0.053,0.03,0.015,0.014,0.028
279,0.033,0.055,0.032,0.016,0.014,0.028
280,0.036,0.059,0.035,0.017,0.016,0.029
281,0.037,0.063,0.035,0.019,0.016,0.029
282,0.036,0.063,0.034,0.018,0.015,0.027
283,0.033,0.06,0.031,0.017,0.013,0.026
284,0.028,0.054,0.026,0.014,0.01,0.025
285,0.022,0.045,0.02,0.01,0.008,0.023
286,0.018,0.038,0.016,0.008,0.006,0.02
287,0.016,0.035,0.015,0.008,0.006,0.018
288,0.018,0.038,0.017,0.01,0.008,0.019
289,0.022,0.042,0.021,0.012,0.009,0.022
290,0.024,0.047,0.023,0.013,0.01,0.024
